© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
IL-6 Signaling	1.58E00	2.73E-01	-4.564	MAP2K4,SOCS3,PIK3CA,PIK3R1,KRAS,JAK2,PIK3R4,VEGFA,SHC1,IKBKG,AKT1,PIK3CG,SOS1,IRS2,CHUK,CSNK2B,NFKBIB,TNFRSF1B,MAP2K1,FRS2,IL1RAP,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,MAPK8,IKBKE,STAT3,FOS,NFKBID,CSNK2A2,PIK3CB,ELK1
Protein Kinase A Signaling	1.58E00	2.32E-01	-2.038	PLCB2,TGFBR1,PHKG2,MYL6,PTPN23,NFATC3,PDE12,RACK1,ACP1,PTEN,PTPRC,IKBKG,PHKB,CAMK2D,TGFB1,PPP3R1,DUSP11,MYL4,DUSP7,GSK3B,CDC16,NFKBIB,APEX1,PRKD3,PTPRE,PTPN6,PTPRG,YWHAG,GNG2,CREB3,PTPN18,PPP1R11,PLCL2,PPP3CC,RAP1A,GNG10,PDE8A,NFKBID,H3F3A/H3F3B,DUSP1,RHOA,PLCG2,PRKCD,PDE1B,CREM,PRKACA,ANAPC5,LEF1,PTPRA,KDELR2,AKAP12,ANAPC2,HIST1H1C,FLNB,TCF4,Calm1 (includes others),PTPN9,CDC23,ANAPC1,DUSP2,PRKAG1,PHKA2,AKAP11,MPPE1,AKAP2,BRAF,DUSP5,PTPRJ,PPP3CB,PDE3B,CREB1,CHUK,GNG5,MAP2K1,ATF1,MAP3K1,PRKAR2A,GNAQ,PYGL,PYGB,ANAPC13,ROCK1,GNAI3,PRKCI,ADD3,AKAP10,DUSP18,PTGS2,ELK1,ADCY7,PTPN22,CDC27,DUSP16
Antiproliferative Role of Somatostatin Receptor 2	1.58E00	3.03E-01	-3.273	PIK3C2B,PTPN6,PIK3CA,NRAS,RRAS,GRB2,PIK3R1,GNG2,RACK1,KRAS,PIK3R4,GNG10,BRAF,PIK3CG,CDKN1A,IRS2,PIK3CB,CDKN1B,GNG5,ELK1,FRS2,MAP2K1,ATM
Interferon Signaling	1.54E00	3.61E-01	-3.051	IFNG,IFIT3,OAS1,PIAS1,IFNGR2,PSMB8,JAK2,BAX,IFNAR2,ISG15,IFIT1,STAT2,IFNAR1
Tryptophan Degradation III (Eukaryotic)	1.51E00	4E-01	NaN	AFMID,HSD17B10,ACAT2,CDYL,HADHB,EHHADH,HACD2,HSD17B4,HADH,HADHA
T Helper Cell Differentiation	1.5E00	3.01E-01	NaN	IL21,IFNG,IL4R,TGFBR1,IL12RB1,IL10,HLA-A,HLA-DQA1,IFNGR2,IL12RB2,HLA-DQB1,STAT3,TBX21,BCL6,IL18R1,STAT4,CD28,TGFB1,IL10RB,TNFRSF1B,GATA3,ICOSLG/LOC102723996
Relaxin Signaling	1.49E00	2.61E-01	-3.780	PIK3CA,PIK3R1,PDE12,RACK1,GNA11,PIK3R4,PRKAG1,MPPE1,BRAF,VEGFA,IKBKG,AKT1,GNA15,PDE3B,PIK3CG,CREB1,IRS2,GNG5,NFKBIB,APEX1,MAP2K1,FRS2,ATM,PIK3C2B,AKT2,GRB2,GNA12,GNG2,GNAQ,PRKAR2A,RAP1A,GNG10,PDE8A,NFKBID,GNAI3,FOS,PDE1B,PRKACA,PIK3CB,ELK1,ADCY7
Remodeling of Epithelial Adherens Junctions	1.48E00	3.04E-01	-2.449	TUBA1B,NME1,RALA,RAB5C,ARPC1B,ARPC5L,ACTB,MAPRE1,TUBG1,TUBA4A,CTNNA1,RAB5B,TUBB,ARPC1A,TUBA1A,ACTR3,EXOC2,TUBA1C,TUBB4A,ACTG1,MAPRE3
Phospholipase C Signaling	1.48E00	2.45E-01	-6.062	CD247,PLD2,PLCB2,MYL6,CD3E,NFATC3,RACK1,KRAS,HDAC6,RHOB,PPP3R1,HDAC11,MYL4,ARHGEF11,PRKD3,ITK,ARHGEF4,RRAS,GNG2,CREB3,PPP3CC,RAP1A,GNG10,CD3G,HDAC3,RHOQ,PLA2G2D,PRKCD,SYK,PLCG2,RHOA,ARHGEF6,ARHGEF10,RALA,Calm1 (includes others),ARHGEF7,RPS6KA3,FCGR2B,RHOH,SHC1,HMOX1,PPP3CB,CREB1,SOS1,GNG5,MAP2K1,NRAS,ARHGEF12,FCGR2A,RHOC,GRB2,GNAQ,CD3D,PLD4,ARHGEF5,PRKCI,MEF2D,MEF2C,ADCY7
Gα12/13 Signaling	1.47E00	2.67E-01	-5.145	MAP2K4,PIK3CA,F2RL2,MYL6,PIK3R1,KRAS,PIK3R4,IKBKG,AKT1,F2RL1,LPAR2,PIK3CG,MYL4,IRS2,CHUK,NFKBIB,FRS2,MAP2K1,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,GNA12,MAP3K1,MAPK8,IKBKE,ROCK1,NFKBID,RHOA,MEF2D,LPAR5,MEF2C,PIK3CB,ELK1
Telomere Extension by Telomerase	1.46E00	4.67E-01	NaN	XRCC6,TERF2IP,MRE11,TNKS2,POT1,XRCC5,RAD50
Cell Cycle Regulation by BTG Family Proteins	1.45E00	3.51E-01	-1.890	CCNE2,PPP2CA,PPP2R2A,PPP2R5B,BTG1,CDK4,E2F3,PPP2R5A,CCNE1,CNOT7,BTG2,PPP2R5E,E2F2
Methionine Degradation I (to Homocysteine)	1.45E00	4.09E-01	NaN	EEF1AKMT2,SUV39H2,PRMT3,PRMT5,MAT2A,EHMT1,COQ5,AHCY,NSUN4
Role of PKR in Interferon Induction and Antiviral Response	1.44E00	3.41E-01	NaN	IFNG,CASP3,TAB2,APAF1,IKBKE,EIF2S1,NFKBID,IKBKG,AKT1,BID,CYCS,EIF2AK2,CHUK,NFKBIB
UDP-N-acetyl-D-glucosamine Biosynthesis II	1.43E00	6.67E-01	NaN	GNPNAT1,GFPT1,PGM3,UAP1
Assembly of RNA Polymerase I Complex	1.41E00	5E-01	NaN	POLR1D,POLR2F,POLR1B,POLR1E,TBP,TAF1B
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.41E00	3.85E-01	NaN	AGPAT4,GPAM,ABHD5,LCLAT1,LPCAT4,AGPAT1,TAZ,AGPAT3,LPGAT1,GPAT4
Phosphatidylethanolamine Biosynthesis II	1.39E00	5.56E-01	NaN	CEPT1,CHKA,SELENOI,ETNK1,CHKB
Antigen Presentation Pathway	1.36E00	3.42E-01	NaN	B2M,IFNG,PSMB9,PSMB5,HLA-A,HLA-DQA1,CANX,PSMB8,CD74,HLA-DQB1,MR1,HLA-G,HLA-F
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	1.32E00	3.91E-01	NaN	NME1,DUT,CMPK2,NME2,RRM2,CMPK1,DTYMK,NME7,RRM1
PPARα/RXRα Activation	1.32E00	2.5E-01	1.715	MAP2K4,PLCB2,TGFBR1,GNA11,BMPR2,KRAS,JAK2,AP2A2,PRKAG1,ABCA1,SHC1,IKBKG,CHD5,GNA15,GPD2,TGFB1,SOS1,PRKAA1,CHUK,GOT2,NFKBIB,MAP2K1,IL1RAP,NRAS,RRAS,GRB2,ACOX1,GNAQ,MAPK8,PRKAR2A,IKBKE,PLCL2,TGS1,NCOA3,AIP,NFKBID,HELZ2,PLCG2,PRKACA,HSP90AA1,MEF2C,ADIPOR2,RXRA,ADCY7,ACVR2A
P2Y Purigenic Receptor Signaling Pathway	1.32E00	2.61E-01	-4.700	PIK3CA,PLCB2,PIK3R1,RACK1,KRAS,PIK3R4,PRKAG1,AKT1,PIK3CG,CREB1,IRS2,GNG5,MAP2K1,FRS2,PRKD3,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,GNG2,CREB3,GNAQ,PRKAR2A,PLCL2,GNG10,FOS,GNAI3,PRKCI,PRKCD,PLCG2,PRKACA,PIK3CB,ADCY7
Sphingosine-1-phosphate Signaling	1.31E00	2.64E-01	-2.694	PLCB2,PIK3CA,PIK3R1,SMPD1,PIK3R4,RHOH,NAAA,AKT1,RHOB,PIK3CG,CASP1,IRS2,FRS2,ATM,PIK3C2B,AKT2,CASP3,RHOC,GRB2,GNA12,GNAQ,PLCL2,ASAH1,S1PR4,GNAI3,RHOQ,RHOA,PLCG2,CASP2,S1PR1,PIK3CB,ADCY7,CASP7
Granzyme B Signaling	1.31E00	4.38E-01	-1.633	PRKDC,PRF1,CASP3,APAF1,BID,CYCS,DFFA
Glioblastoma Multiforme Signaling	1.3E00	2.53E-01	-3.888	TSC1,PIK3CA,PLCB2,PIK3R1,CDK4,KRAS,PIK3R4,E2F3,RHOH,PTEN,SHC1,AKT1,RHOB,PIK3CG,SOS1,IRS2,GSK3B,MAP2K1,FRS2,E2F2,ATM,PIK3C2B,RPS6KB1,AKT2,NRAS,RRAS,RHOC,GRB2,MDM2,PLCL2,IGF2,CCNE1,RHOQ,NF1,PRKCD,RHOA,PLCG2,CDKN1A,PIK3CB,LEF1,CDKN1B
Role of NFAT in Cardiac Hypertrophy	1.28E00	2.42E-01	-4.525	MAP2K4,PLCB2,LIF,TGFBR1,PIK3R1,RACK1,KRAS,PIK3R4,CABIN1,HDAC6,CAMK2D,TGFB1,PPP3R1,HDAC11,PIK3CG,IRS2,GSK3B,FRS2,PRKD3,ATM,PIK3C2B,AKT2,RRAS,GNG2,PLCL2,PPP3CC,GNG10,HDAC3,PRKCD,PLCG2,PRKACA,PIK3CA,Calm1 (includes others),PRKAG1,SHC1,AKT1,PPP3CB,SOS1,GNG5,MAP2K1,NRAS,GRB2,MAP3K1,GNAQ,PRKAR2A,MAPK8,GNAI3,RCAN1,PRKCI,MEF2D,PIK3CB,MEF2C,ADCY7
tRNA Charging	1.28E00	3.33E-01	NaN	RARS2,GARS,LARS2,DARS2,MARS,NARS2,FARSA,NARS,WARS,LARS,TARS2,RARS,IARS
Neurotrophin/TRK Signaling	1.27E00	2.86E-01	-4.146	MAP2K4,PIK3C2B,PIK3CA,NRAS,RRAS,GRB2,PIK3R1,CREB3,MAPK8,KRAS,PIK3R4,SHC1,FOS,AKT1,PIK3CG,CREB1,SOS1,IRS2,PIK3CB,FRS2,MAP2K1,ATM
Leptin Signaling in Obesity	1.26E00	2.79E-01	-3.153	SOCS3,PIK3C2B,PIK3CA,AKT2,PLCB2,GRB2,PIK3R1,PRKAR2A,PLCL2,STAT3,JAK2,PIK3R4,PRKAG1,AKT1,PDE3B,PIK3CG,PLCG2,PRKACA,PIK3CB,IRS2,FRS2,ADCY7,MAP2K1,ATM
Glycogen Degradation II	1.25E00	4.62E-01	NaN	PGM3,PGM1,PYGL,PYGB,AGL,PGM2
Actin Nucleation by ARP-WASP Complex	1.24E00	3.04E-01	-3.873	NRAS,ARPC1B,RRAS,GRB2,RHOC,ARPC5L,GNA12,KRAS,NCK1,RHOH,ROCK1,ARPC1A,RHOQ,ACTR3,RHOB,RHOA,SOS1
IL-10 Signaling	1.24E00	2.9E-01	NaN	MAP2K4,SOCS3,IL4R,CCR5,IL10,FCGR2A,BLVRA,MAPK8,IKBKE,STAT3,FCGR2B,HMOX1,NFKBID,FOS,IKBKG,IL10RB,CHUK,NFKBIB,ELK1,IL1RAP
Heme Biosynthesis from Uroporphyrinogen-III I	1.24E00	7.5E-01	NaN	UROD,FECH,CPOX
Geranylgeranyldiphosphate Biosynthesis	1.24E00	7.5E-01	NaN	FDPS,COX10,GGPS1
Acetate Conversion to Acetyl-CoA	1.24E00	7.5E-01	NaN	ACSS2,ACSS1,ACSL1
ILK Signaling	1.24E00	2.44E-01	-3.130	MAP2K4,FLNB,PIK3CA,MYH9,MYL6,PPP2R2A,PPP2CA,PIK3R1,PPP2R5B,ILK,VEGFB,PIK3R4,RICTOR,RHOH,PTEN,VEGFA,AKT1,RHOB,PIK3CG,CREB1,MYL4,IRS2,GSK3B,FRS2,NACA,ATM,PIK3C2B,AKT2,PARVA,CASP3,GRB2,RHOC,ACTB,CREB3,MAPK8,RPS6KA5,PPP2R5A,FOS,RHOQ,LIMS1,RHOA,ARHGEF6,LEF1,RPS6KA4,PIK3CB,PTGS2,PPP2R5E,ACTG1
Cysteine Biosynthesis III (mammalia)	1.23E00	3.75E-01	NaN	EEF1AKMT2,SUV39H2,PRMT3,PRMT5,MAT2A,EHMT1,COQ5,AHCY,NSUN4
α-Adrenergic Signaling	1.21E00	2.76E-01	-2.683	NRAS,Calm1 (includes others),PHKG2,RRAS,GNG2,RACK1,PRKAR2A,GNAQ,PYGB,KRAS,PYGL,PRKAG1,PHKA2,GNG10,GNAI3,PRKCI,PHKB,PLCG2,PRKCD,PRKACA,GNG5,PRKD3,ADCY7,MAP2K1
Ketolysis	1.21E00	5E-01	NaN	BDH1,ACAT2,HADHB,OXCT1,HADHA
Cholecystokinin/Gastrin-mediated Signaling	1.19E00	2.67E-01	-4.811	MAP2K4,PLCB2,KRAS,RHOH,SHC1,RHOB,SOS1,MAP2K1,PRKD3,NRAS,RRAS,GRB2,RHOC,GNA12,GNAQ,MAPK8,ROCK1,FOS,RHOQ,PRKCI,MEF2D,RHOA,PRKCD,CREM,MEF2C,PTGS2,ELK1
Glioma Invasiveness Signaling	1.18E00	2.86E-01	-4.025	PIK3C2B,PIK3CA,NRAS,RRAS,GRB2,RHOC,HMMR,PIK3R1,KRAS,PIK3R4,RHOH,RHOQ,RHOB,RHOA,PIK3CG,ITGAV,IRS2,PIK3CB,FRS2,ATM
Ceramide Biosynthesis	1.18E00	5.71E-01	NaN	SPTLC1,SPTLC2,KDSR,SPTSSA
Opioid Signaling Pathway	1.18E00	2.36E-01	-4.719	MAP2K4,RGS9,RGS1,PLD2,GRK2,KRAS,AP1B1,AP2A2,CAMK2D,PPP3R1,PIK3CG,RGS10,RGS14,GSK3B,PRKD3,RPS6KB1,AKT2,RRAS,GRK3,GNG2,CLTC,CREB3,PPP3CC,RAP1A,AP2S1,FOSB,CLTA,PRKCD,PDE1B,PRKACA,Calm1 (includes others),RPS6KA3,PRKAG1,BRAF,YES1,AKT1,ARRB1,AP1G2,PPP3CB,CREB1,SOS1,RPS6KB2,PDK1,GNG5,MAP2K1,GRIN1,AP2M1,NRAS,PRKAR2A,RPS6KA5,GNAI3,FOS,PRKCI,RPS6KA4,CDKN1B,ELK1,ADCY7
FcγRIIB Signaling in B Lymphocytes	1.18E00	2.78E-01	-3.710	MAP2K4,PIK3C2B,PIK3CA,NRAS,RRAS,GRB2,PIK3R1,MAPK8,KRAS,FCGR2B,PIK3R4,SHC1,AKT1,SYK,PLCG2,PIK3CG,SOS1,IRS2,PIK3CB,DOK1,FRS2,ATM
NF-κB Signaling	1.14E00	2.43E-01	-5.032	SIGIRR,AZI2,PIK3CA,TGFBR1,PIK3R1,TAB2,TNFAIP3,BMPR2,KRAS,PIK3R4,BRAF,TANK,IKBKG,AKT1,BMPR1A,PIK3CG,TLR1,IRS2,CSNK2B,CHUK,GSK3B,TNFRSF1B,NFKBIB,FRS2,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,MAP3K1,MAPK8,TAB3,NFKBID,CSNK2A2,RIPK1,BCL10,PLCG2,PELI1,PRKACA,BTRC,PIK3CB,EIF2AK2,TIRAP
Colorectal Cancer Metastasis Signaling	1.14E00	2.34E-01	-4.714	MAP2K4,TGFBR1,GRK2,MSH3,PIK3R1,RACK1,KRAS,PIK3R4,VEGFA,RHOB,TGFB1,PIK3CG,TLR1,IRS2,GSK3B,FRS2,ATM,PIK3C2B,AKT2,CASP3,RRAS,GRK3,GNG2,STAT3,GNG10,RHOQ,RHOA,PRKACA,LEF1,SIAH1,TCF4,PIK3CA,VEGFB,JAK2,RHOH,MLH1,PRKAG1,BRAF,APPL1,AKT1,ARRB1,SOS1,GNG5,MAP2K1,IFNG,NRAS,RHOC,GRB2,PRKAR2A,MAPK8,BAX,FOS,MSH2,MSH6,PIK3CB,PTGS2,ADCY7,LRP1
B Cell Activating Factor Signaling	1.14E00	3.17E-01	-3.162	MAP2K4,NFATC3,MAP3K1,MAPK8,IKBKE,TNFRSF13C,NFKBID,FOS,IKBKG,ELP1,CHUK,ELK1,NFKBIB
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.13E00	2.82E-01	NaN	IL21,SOCS3,PIK3C2B,IL4R,PIK3CA,NRAS,RRAS,GRB2,PIK3R1,KRAS,JAK2,STAT3,PIK3R4,SHC1,PIK3CG,SYK,IRS2,PIK3CB,FRS2,ATM
Colanic Acid Building Blocks Biosynthesis	1.11E00	4.29E-01	NaN	GMPPB,UGDH,GALK2,UGP2,GALE,PMM2
IL-15 Signaling	1.1E00	2.76E-01	NaN	PIK3C2B,PIK3CA,AKT2,NRAS,RRAS,GRB2,PIK3R1,KRAS,STAT3,JAK2,PIK3R4,SHC1,AKT1,SYK,PIK3CG,IRS2,PIK3CB,FRS2,MAP2K1,FASLG,ATM
Macropinocytosis Signaling	1.07E00	2.72E-01	-4.146	PIK3C2B,PIK3CA,NRAS,RRAS,GRB2,PIK3R1,ANKFY1,KRAS,PIK3R4,CSF1R,PAK1,PRKCI,ABI1,PRKCD,RHOA,PIK3CG,PLCG2,IRS2,PIK3CB,FRS2,PRKD3,ATM
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	1.07E00	1E00	NaN	UXS1,UGDH
Spermine Biosynthesis	1.07E00	1E00	NaN	SMS,AMD1
Uridine-5'-phosphate Biosynthesis	1.07E00	1E00	NaN	CAD,UMPS
Spermidine Biosynthesis I	1.07E00	1E00	NaN	SRM,AMD1
Paxillin Signaling	1.07E00	2.57E-01	-4.315	MAP2K4,PIK3CA,ARHGEF7,PIK3R1,CRK,KRAS,NCK1,PIK3R4,PAK1,PIK3CG,SOS1,ITGAV,IRS2,FRS2,ATM,PIK3C2B,PAK4,PARVA,NRAS,RRAS,GRB2,ACTB,MAPK8,ITGAM,ARHGEF6,PAK2,ITGA1,PIK3CB,ACTG1
Estrogen-mediated S-phase Entry	1.04E00	3.46E-01	-1.414	CCNA2,CCNE1,CCNE2,TFDP1,CDKN1A,CDK4,CDKN1B,E2F3,E2F2
UVC-Induced MAPK Signaling	9.95E-01	3.02E-01	-3.464	MAP2K4,BRAF,FOS,PRKCI,NRAS,RRAS,PRKCD,MAPK8,ATR,SMPD1,KRAS,MAP2K1,PRKD3
Axonal Guidance Signaling	9.95E-01	2.17E-01	NaN	TUBA1B,PLCB2,MYL6,NFATC3,PIK3R1,Wasl,RACK1,KRAS,SEMA4F,NCK1,TUBB,BRCC3,PIK3R4,ADAM8,VEGFA,PAK1,GNA15,SUFU,PIK3CG,PPP3R1,ADAM23,MYL4,IRS2,PLXNB2,ARHGEF11,TUBA1C,GSK3B,CHMP1A,PRKD3,FRS2,ATM,PIK3C2B,AKT2,ADAMTS1,RRAS,CRKL,GNG2,PLCL2,PPP3CC,RAP1A,GNG10,HERC2,ARPC1A,ADAMTS6,RHOA,PRKCD,PLCG2,ARHGEF6,PRKACA,NRP1,PIK3CA,ADAM17,RND1,ARPC1B,ARHGEF7,GNA11,VEGFB,CRK,ABLIM1,PRKAG1,EIF4E,SHC1,ACTR3,AKT1,PPP3CB,CDK5,SOS1,ADAM19,PLXNB1,TUBB4A,PSMD14,LNPEP,GNG5,MAP2K1,PAK4,PLXNC1,NRAS,ARHGEF12,GRB2,ARPC5L,CXCR4,GNA12,TUBG1,TUBA4A,GNAQ,PRKAR2A,EPHA3,ROCK1,GNAI3,SEMA4D,TUBA1A,PRKCI,PAK2,ADAM10,PIK3CB,BMP7,AFG3L2,ADAM9
IL-1 Signaling	9.86E-01	2.61E-01	-4.025	MAP2K4,GNA12,GNG2,MAP3K1,GNA11,RACK1,TAB2,PRKAR2A,MAPK8,GNAQ,IKBKE,PRKAG1,GNG10,NFKBID,GNAI3,FOS,IKBKG,GNA15,PRKACA,CHUK,NFKBIB,GNG5,IL1RAP,ADCY7
Glycogen Degradation III	9.86E-01	4E-01	NaN	PGM3,PGM1,PYGL,PYGB,AGL,PGM2
Inositol Pyrophosphates Biosynthesis	9.86E-01	5E-01	NaN	IPPK,PPIP5K1,IP6K1,PPIP5K2
Mouse Embryonic Stem Cell Pluripotency	9.82E-01	2.55E-01	-3.657	PIK3CA,TCF4,LIF,PIK3R1,BMPR2,KRAS,JAK2,PIK3R4,AKT1,BMPR1A,PIK3CG,SOS1,IRS2,GSK3B,SMAD1,FRS2,MAP2K1,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,STAT3,DVL2,PIK3CB,LEF1
AMPK Signaling	9.67E-01	2.31E-01	-2.846	PBRM1,TSC1,FOXO4,PIK3CA,PPP2R2A,PPP2CA,RAB2A,PIK3R1,PPP2R5B,SMARCD2,PIK3R4,ELAVL1,PRKAG1,RAB22A,CCNA2,KAT2B,AKT1,CRTC2,TBC1D1,PIK3CG,CREB1,PRKAA1,IRS2,PPM1A,EEF2K,FRS2,ATM,ADRB2,PFKFB3,RPS6KB1,PIK3C2B,AKT2,SLC2A1,GRB2,EEF2,ACTB,CREB3,PRKAR2A,PFKFB2,PPP2R5A,CDKN1A,PRKACA,PIK3CB,PPP2R5E,AK2,HMGCR,HLTF,CAMKK2,RAB6A,PHF10
Purine Nucleotides Degradation II (Aerobic)	9.67E-01	3.68E-01	NaN	NT5C3B,NT5C3A,NT5E,IMPDH2,XDH,IMPDH1,NT5M
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)	9.67E-01	6E-01	NaN	GNE,CMAS,NANS
Lysine Degradation II	9.67E-01	6E-01	NaN	AASDH,AASDHPPT,ALDH7A1
Myo-inositol Biosynthesis	9.67E-01	6E-01	NaN	IMPA1,IMPAD1,IMPA2
Lysine Degradation V	9.67E-01	6E-01	NaN	AASDH,AASDHPPT,ALDH7A1
Trans, trans-farnesyl Diphosphate Biosynthesis	9.67E-01	6E-01	NaN	FDPS,IDI1,GGPS1
Galactose Degradation I (Leloir Pathway)	9.67E-01	6E-01	NaN	GALK2,GALE,GALM
Stearate Biosynthesis I (Animals)	9.46E-01	2.95E-01	NaN	ACSL3,LPCAT4,GNPAT,ELOVL1,SLC27A4,ACOT2,SRD5A3,DHCR24,PPT1,ZADH2,ACOT9,ACSL1,ACOT8
Calcium-induced T Lymphocyte Apoptosis	9.46E-01	2.73E-01	-3.638	CD247,Calm1 (includes others),CD3E,HLA-A,HLA-DQA1,HLA-DQB1,PPP3CC,CD3D,CABIN1,CD3G,PRKCI,PPP3CB,MEF2D,PPP3R1,PRKCD,NR4A1,PRKD3,ORAI1
autophagy	9.21E-01	2.74E-01	NaN	ATG12,STX17,ATG5,ATG7,CTSO,VPS41,ATG4B,ATG3,VPS33B,PIK3R4,CTSZ,ATG13,CTSA,WDFY3,ATG9A,CTSS,CTSB
Caveolar-mediated Endocytosis Signaling	9.21E-01	2.68E-01	NaN	B2M,COPZ1,FLNB,ARCN1,RAB5C,HLA-A,ACTB,CD48,FLOT1,COPG2,RAB5B,COPB1,CD55,ITGAM,FLOT2,ITGAV,ITGA1,ACTG1,MAP3K2
Acyl-CoA Hydrolysis	9.18E-01	4.17E-01	NaN	ACOT2,PPT1,GNPAT,ACOT9,ACOT8
Guanosine Nucleotides Degradation III	9.18E-01	4.17E-01	NaN	NT5C3B,NT5C3A,NT5E,XDH,NT5M
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	9.11E-01	2.86E-01	-0.577	PRKDC,MDM4,YWHAG,KAT2B,WEE1,CDK7,CDKN1A,PKMYT1,MDM2,ATR,BTRC,AURKA,BRCA1,ATM
IL-17 Signaling	9.11E-01	2.59E-01	NaN	MAP2K4,PIK3C2B,PIK3CA,AKT2,NRAS,RRAS,GRB2,PIK3R1,MAPK8,KRAS,JAK2,PIK3R4,AKT1,PIK3CG,IRS2,PIK3CB,PTGS2,GSK3B,ELK1,FRS2,MAP2K1,ATM
4-1BB Signaling in T Lymphocytes	9E-01	3.12E-01	-2.828	MAP2K4,NFKBID,TNFRSF9,IKBKG,MAPK8,IKBKE,ELP1,CHUK,NFKBIB,MAP2K1
Endothelin-1 Signaling	8.93E-01	2.32E-01	-5.337	PAFAH1B2,PLD2,PIK3CA,PLCB2,PIK3R1,GNA11,KRAS,PIK3R4,PLBD1,BRAF,SHC1,HMOX1,GNA15,PIK3CG,SOS1,CASP1,ECE1,IRS2,FRS2,PRKD3,ATM,PLA2G16,PNPLA8,PIK3C2B,NRAS,CASP3,RRAS,GRB2,GNA12,GNAQ,MAPK8,PLCL2,PLD4,FOS,GNAI3,PRKCI,PLA2G2D,PRKCD,PLCG2,CASP2,PIK3CB,PTGS2,ADCY7,CASP7
Gap Junction Signaling	8.91E-01	2.31E-01	NaN	TUBA1B,PLCB2,PIK3CA,PIK3R1,KRAS,PIK3R4,TUBB,PRKAG1,SP3,AKT1,PPP3CB,PPP3R1,PIK3CG,SOS1,TUBB4A,TUBA1C,IRS2,MAP2K1,FRS2,PRKD3,MAP3K2,ATM,PIK3C2B,AKT2,NRAS,RRAS,TJP1,GRB2,ACTB,CSNK1G3,TUBG1,TUBA4A,GNAQ,PRKAR2A,PLCL2,PPP3CC,GNAI3,TUBA1A,PRKCI,PRKCD,PLCG2,PRKACA,PIK3CB,ACTG1,ADCY7
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	8.82E-01	3.33E-01	-1.000	IFNG,PTPN6,IFNGR2,STAT2,JAK2,STAT3,IFNAR2,IFNAR1
Inflammasome pathway	8.82E-01	3.5E-01	-2.646	NAIP,NLRP1,AIM2,PYCARD,CASP1,CTSB,P2RX7
HMGB1 Signaling	8.73E-01	2.41E-01	-5.303	MAP2K4,PIK3CA,LIF,PIK3R1,KRAS,PIK3R4,RHOH,AKT1,KAT2B,RHOB,TGFB1,PIK3CG,IRS2,TNFRSF1B,MAP2K1,FRS2,ATM,IFNG,PIK3C2B,AKT2,NRAS,RRAS,HAT1,RHOC,GRB2,IFNGR2,MAPK8,FOS,RHOQ,RHOA,PIK3CB,ELK1
Mechanisms of Viral Exit from Host Cells	8.73E-01	2.93E-01	NaN	VPS25,PRKCI,CHMP2A,ACTB,PRKCD,VPS36,PDCD6IP,PRKD3,ACTG1,VPS37C,CHMP3,VPS4A
Fc Epsilon RI Signaling	8.66E-01	2.44E-01	-3.157	MAP2K4,PIK3CA,PIK3R1,INPPL1,KRAS,PIK3R4,AKT1,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,PRKD3,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,MAPK8,SYNJ2,PRKCI,PLA2G2D,SYNJ1,PRKCD,SYK,PLCG2,PIK3CB,INPP5K
FGF Signaling	8.6E-01	2.53E-01	-3.962	PIK3C2B,PTPN6,PIK3CA,AKT2,GRB2,CRKL,PIK3R1,MAP3K1,CREB3,MAPK8,CRK,RPS6KA5,STAT3,PIK3R4,AKT1,PIK3CG,CREB1,SOS1,IRS2,PIK3CB,FRS2,MAP2K1,ATM
Heme Biosynthesis II	8.46E-01	4.44E-01	NaN	UROD,FECH,ALAS1,CPOX
Folate Transformations I	8.46E-01	4.44E-01	NaN	MTHFR,MTHFS,MTR,MTHFD2L
Signaling by Rho Family GTPases	8.21E-01	2.22E-01	-6.193	MAP2K4,MYL6,PIK3R1,RACK1,PIKFYVE,PIK3R4,PARD6A,SLC9A1,PAK1,GNA15,RHOB,PIK3CG,CYBB,MYL4,ARHGEF11,IRS2,FRS2,ATM,MAP3K9,PIK3C2B,ARHGEF4,GNG2,GNG10,MAP3K12,ARPC1A,RHOQ,RHOA,ARHGEF6,ARHGEF10,ACTG1,PIK3CA,ARPC1B,ARHGEF7,GNA11,RHOH,ACTR3,GNG5,MAP2K1,PAK4,ARHGEF12,RHOC,ARPC5L,GRB2,ACTB,GNA12,GNAQ,MAPK8,ROCK1,GNAI3,FOS,ARHGEF5,PRKCI,PAK2,PIK3CB,ELK1,SEPT2
