© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target molecules in dataset	Mechanistic Network	
NDN	 	transcription regulator	 	 	 	2.57E-02	CDKN2A,NUCB2,PPARG	 	
ATF2	1.902	transcription regulator	 	1.207	bias	6.09E-04	ATF3,CD79A,CDKN2A,DUSP1,DUSP5,EGR1,FOS,IFNG,PENK,PLA2G4A,PPARG,TNF	290 (20)	
TP53	1.517	transcription regulator	 	-1.210	 	6.71E-04	Abcb1b,ABCG2,ACTN1,ADA,ANXA1,APOBEC2,ATF3,BHLHE40,BNIP3,CD81,CDH1,CDKN2A,CERS6,CSF3R,DCLRE1A,DNAJB2,DNASE1,DUSP1,DUSP2,DUSP5,EGR1,EGR3,ENPP2,ERBB2,ESR1,F5,FABP3,FOS,GADD45B,GATM,GRK3,GSTM5,GTSE1,HSP90AA1,HSPA1A/HSPA1B,HSPA8,ID3,IFNG,IGF1R,IL4R,IRS1,ITGA2B,JUNB,KANK3,KLF4,KLK3,LIMA1,MCAM,MELK,MGST2,MIS18BP1,MMP9,MPI,MT-CO2,MT-CYB,MYBL2,NAMPT,NLRC4,OAS1,PALLD,PARVA,PFKM,PIDD1,PIK3R3,PLK2,PMEPA1,PPARG,PPP1R15A,PRKCG,PRNP,PSTPIP2,PTK2,PTPRM,RAD51AP1,RAP2B,RFC3,RPSA,RTKN,SERPINB9,SLPI,SQOR,STOM,TDO2,TEX15,TGFB1I1,TIMP2,TJP1,TNF,TRIAP1,UBC,VCAN,VEGFA,ZFP36L1,ZNF365	309 (21)	
NPPA	 	other	 	-0.958	 	3.64E-02	CDKN2A,DUSP1,EGR1,TNF	 	
ID2	-1.431	transcription regulator	 	1.373	 	1.88E-04	CCR8,CD19,CD79A,CDKN2A,CXCR4,DUSP1,DUSP22,ETS2,GADD45B,IFNG,IL4R,IRF6,KLF6,NR4A1,NR4A3,PTPN14,SLAMF6,SOCS3,TNFRSF25	49 (5)	
IRF6	-35.712	transcription regulator	 	-0.277	bias	8.44E-03	ENPP2,IL18,KLF4,NR4A2,PLA2G2D,TJP1	 	
PDX1	 	transcription regulator	 	1.938	 	4.46E-02	ATF3,CHGB,CREM,CXCR4,DUSP5,EGR1,GCH1,ID3,IGF1R,IRS2,JUNB,KIAA1324,KLF6	 	
CD28	2.415	transmembrane receptor	 	-1.225	bias	3.14E-04	AHR,ANXA1,BHLHE40,CD274,CD69,CD80,CLK1,CREM,CTLA4,CXCR4,DUSP22,FOS,HIST1H2AC,HSPA1A/HSPA1B,HSPA8,IFNG,IGF1R,MAP3K10,MT-CO1,NAMPT,NR4A1,ODC1,PRDX4,SOCS3,STOM,TNF,TNFAIP3,TNFSF18,TUBB1,VIPR1	229 (14)	
TGFBR2	2.248	kinase	 	-0.485	 	3.64E-03	BHLHE40,CDH1,CDKN2A,CHRM3,DSG2,GADD45B,GATM,HPGD,IFNG,IL1R2,MMP9,SKIL,SOCS3,TGIF1,TNF,VEGFA,ZNF365	260 (17)	
ESR1	-25.061	ligand-dependent nuclear receptor	 	-1.573	 	5.92E-03	ABCG2,ADA,ARHGEF9,ATF3,ATF5,BCAT1,BCL2L2,C3,CD69,CDC42BPB,CDH1,CDKN2A,CLEC1B,CLN8,CYP17A1,DLG2,DSG2,DUSP5,EGR1,ENPP2,ERBB2,ESR1,FMN1,FOS,FOSB,FOSL2,GADD45B,GUCY1A3,HEBP1,HSP90AA1,IFNG,IGF1R,IRS1,IRS2,ISG20,ITGA2B,JMY,JUNB,KCNJ13,KCNK6,KIF13A,KIF20A,KL,KLK3,LIMA1,MAGI1,MAP3K13,MMP9,NEB,NR1H3,OBSCN,PALLD,PLCE1,PTK2,PYGL,RDH5,RENBP,RGS11,RP2,RTP4,SEC14L1,SERPINB9,SLC16A2,SLC38A2,SLC3A2,SLC44A1,SLC7A11,SNN,TDO2,TIMP2,TJP1,TNF,TNFAIP3,TTR,VEGFA,XK	278 (19)	
PTGES	 	enzyme	 	 	 	2.58E-03	ANXA1,CDH1,EGR1,IFNG,MMP9,NEB,PPARG,TNF	193 (12)	
MYC	-1.030	transcription regulator	 	-0.970	bias	4.32E-02	ACTN1,ACVR1,AMD1,ARHGAP22,BCAT1,CBX4,CD19,CD274,CD69,CDH1,CDKN2A,CHRNB1,CHST15,CSRP2,DSP,DUSP1,DUSP2,DUSP5,Ear2 (includes others),EBF1,EGR1,ERBB2,EVPL,FCGRT,FOS,GADD45B,GGT1,GP1BA,HLA-A,HSP90AA1,Hspa1b,ID3,IRF6,IRS1,ITGA3,KLF4,KLF6,LIMA1,MMP9,OAS1,ODC1,PAX5,PFKM,PRDX4,RARB,SEC61A2,SLC11A1,SLC3A2,SQOR,SRSF2,TEAD2,TGM1,TIMP2,TLE1,TNF,TNFRSF8,ULBP1,UXT,VEGFA,ZFP36L1	 	
KLF11	3.640	transcription regulator	 	 	 	1.19E-02	CHRM3,CHRM4,CHRNB1,CHRNE,FABP3,PLA2G4A	 	
TLR3	-14.854	transmembrane receptor	 	1.306	bias	7.73E-07	ATF3,BCAR3,C3,CD274,CD40,CD69,CD80,DUSP1,FOS,GADD45B,GCH1,IFNG,IL15,IL1R2,ISG20,JUNB,NFKBIZ,NR4A1,OAS1,PIK3R3,PLK2,RARB,RGS1,SERPINB9,SLPI,SOCS3,STYK1,TNF,TNFSF13B,TSPAN33	217 (15)	
RBP2	 	transporter	 	 	 	4.38E-02	CDH1	 	
LILRB1	 	transmembrane receptor	 	 	 	5.78E-03	IFNG,MMP9,TNF	122 (9)	
ID4	 	transcription regulator	 	 	 	1.73E-02	CDH1,CDKN2A,PPARG	 	
MEF2D	4.637	transcription regulator	 	 	 	1.84E-02	BCL2L2,BLK,CDH1,FOS,FOSB,JUNB,NR4A1	 	
TNFRSF9	-7.048	transmembrane receptor	 	-0.552	 	5.79E-03	ANPEP,CD40,CD80,IFNG,MMP9,TNF	239 (18)	
CXCR6	3.178	g-protein coupled receptor	 	 	 	4.38E-02	IFNG	 	
IL19	 	cytokine	 	0.000	bias	5.52E-03	CXCR4,IFNG,MMP9,TNF	215 (15)	
NCR2	 	transmembrane receptor	 	1.960	bias	5.52E-03	NR4A1,NR4A2,NR4A3,TNF	 	
TAS1R3	-1.701	g-protein coupled receptor	 	1.131	bias	9.44E-04	CHRM3,PPARG,SLC3A2,SLC7A11	 	
PLK4	1.387	kinase	 	0.000	bias	2.22E-02	CD40,IL15,MARCO,RGS1	 	
SMARCC1	-1.077	transcription regulator	 	 	 	1.81E-03	CD79A,CDH1,EBF1,KLK3,PAX5	114 (5)	
VGF	 	growth factor	 	 	 	3.48E-02	CHGB,FOS	 	
phyllanthusmin C	 	chemical - endogenous non-mammalian	 	 	 	4.38E-02	IFNG	 	
CID-2011756	 	chemical reagent	 	 	 	4.38E-02	NR4A1	 	
CAY10397	 	chemical reagent	 	 	 	1.09E-02	IFNG,TNF	 	
CML advanced glycation end products	 	chemical reagent	 	 	 	4.38E-02	EGR1	 	
ULBP1	-62.528	transmembrane receptor	 	1.131	bias	2.23E-04	CD69,HLA-A,IFNG,TNF	189 (14)	
CSNK2A1	-1.074	kinase	 	 	 	3.07E-02	AHR,CDH1,ITGA3	 	
FAU	3.378	other	 	 	 	4.38E-02	TNF	 	
SOCS2	4.108	other	 	 	 	2.13E-02	IFNG,LIPE,PPARG	 	
Peg3	 	other	 	 	 	4.38E-02	VEGFA	 	
FLT3LG	 	cytokine	 	-1.698	bias	3.52E-02	CD19,CD40,CD79A,CD80,IFNG,PAX5	 	
SOD1	2.689	enzyme	 	 	 	1.79E-02	CALCB,DCXR,ETS2,FOS,FOSL2,GSTM5,HDDC3,HSPA8,IFNG,JUNB,MMP9,MT-CO1,NFIL3,SLC40A1,TNF,TNFAIP3	 	
NCOA4	1.331	transcription regulator	 	0.762	bias	4.06E-02	CDH1,EHF,JAG1,KLK3	 	
DPP-23	 	chemical reagent	 	1.342	bias	1.11E-03	DNAJB2,HSP90AA1,HSPA1A/HSPA1B,HSPA5,PPP1R15A	 	
TLR4-IN-C34	 	chemical reagent	 	 	 	4.38E-02	HSPA5	 	
LMT-28	 	chemical reagent	 	 	 	4.38E-02	TNF	 	
COG112 peptide	 	chemical reagent	 	 	 	2.56E-02	IFNG,TNF	 	
C20-D3-vitamin A	 	chemical drug	 	 	 	5.59E-03	C3,CFP	 	
PRN694	 	chemical - kinase inhibitor	 	 	 	4.38E-02	CD69	 	
SRI-29132	 	chemical - kinase inhibitor	 	 	 	4.38E-02	TNF	 	
HNRNPAB	1.817	enzyme	 	 	 	1.37E-02	CDH1,HBB,TJP1	 	
thalidomide analog 1	 	chemical reagent	 	 	 	4.38E-02	VEGFA	 	
thalidomide analog 2	 	chemical reagent	 	 	 	4.38E-02	VEGFA	 	
CDG2-cRGD-5	 	chemical reagent	 	 	 	4.38E-02	VEGFA	 	
broussoflavonol b	 	chemical reagent	 	 	 	4.38E-02	ESR1	 	
OSU-CG12	 	chemical reagent	 	 	 	4.38E-02	KLF6	 	
lead chromate	 	chemical toxicant	 	 	 	4.38E-02	CDKN2A	 	
24-methylenecycloartanyl ferulate	 	chemical reagent	 	 	 	4.38E-02	PPARG	 	
6-aminopyrazolopyrimidine derivative compound II	 	chemical - kinase inhibitor	 	 	 	1.73E-02	IFIT1B,IFNG,TNF	 	
p38 MAP kinase inhibitor	 	chemical drug	 	 	 	1.09E-02	IFNG,MMP9	 	
glucosamine-2-O-methyl inositol octadecyl phosphate	 	chemical reagent	 	 	 	4.38E-02	PRNP	 	
ITF3056	 	chemical reagent	 	 	 	1.09E-02	IFNG,TNF	 	
sintokamide A	 	chemical reagent	 	 	 	4.38E-02	KLK3	 	
cigarette smoke	 	chemical toxicant	 	1.335	bias	8.40E-05	Abcb1b,AHR,C3,CDKN2A,CHRM3,DNAJB2,EGR1,FOS,GSTM5,HSP90AA1,HSPA5,IFNG,KL,KLF4,MAFF,MMP9,MT-ATP6,OAS1,POU2AF1,PPARG,PRKCG,TNF,UBC,VEGFA	282 (22)	
phytohemagglutinin	 	chemical drug	 	-0.815	bias	7.72E-04	AFF1,AIF1,ALAS2,C6,CACNB3,CD69,CHML,CTLA4,CXCR4,DNAJB2,FOS,FOSL2,GAB2,GGT1,HPGD,HSP90AA1,IFNG,IL1R2,LCAT,MMP9,PAX5,RARB,SLC16A2,TFPI,TNF,VIPR1	241 (20)	
hemocyanin	 	biologic drug	 	 	 	2.22E-02	CD80,IFNG,TNF,TNFSF4	 	
bleomycin	 	chemical drug	 	-0.807	bias	4.99E-02	C3,CXCR4,IFNG,IL13RA1,IL18,IL4R,JAG1,MMP9,NR4A1,STOM,TIMP2,Tlr13,TNF	 	
antimycin A	 	chemical - endogenous non-mammalian	 	 	 	3.60E-02	CDKN2A,TIMP2,TNF	 	
intralipid	 	chemical drug	 	 	 	4.51E-02	FOS,PENK	 	
fluticasone/salmeterol	 	chemical drug	 	 	 	4.38E-02	CD274	 	
green tea polyphenol	 	chemical drug	 	-0.218	 	3.27E-03	ANXA1,CDH1,FOS,MMP9,PPARG,VEGFA	238 (18)	
silymarin	 	chemical drug	 	-0.914	bias	3.64E-02	Abcb1b,IFNG,MMP9,TNF	 	
silibinin	 	chemical drug	 	1.378	bias	2.70E-02	CDH1,EGR1,IGF1R,KLK3,MMP9,TIMP2,VEGFA	 	
reactive oxygen species	 	chemical toxicant	 	1.057	bias	1.93E-02	CD200,CD80,CXCR4,DUSP2,ERBB2,HSPA5,KLF6,RARB,TNF,TNFAIP3,VEGFA	 	
asbestos	 	chemical toxicant	 	 	 	5.78E-03	CDKN2A,JUNB,TNF	 	
superoxide	 	chemical - endogenous mammalian	 	 	 	4.19E-02	ID3,MMP9,TLR8	 	
ciglitazone	 	chemical drug	 	-0.839	 	2.54E-03	CIITA,ESR1,IFNG,KLK3,MMP9,MT-CO2,PPARG,RARB,TGM1,TNF	293 (22)	
AP20187	 	chemical reagent	 	 	 	3.48E-02	EGR1,FOS	 	
merck C	 	chemical - kinase inhibitor	 	 	 	4.38E-02	TNF	 	
diethylstilbestrol	 	chemical drug	 	1.065	bias	1.40E-02	ABCG2,AHR,BCAT1,C3,CD200,CLN8,CYP17A1,EGR1,ESR1,FOS,HLA-A,IGF1R,IL1R2,KLF4,KLK3,SLPI,VEGFA	 	
herbimycin	 	chemical - kinase inhibitor	 	-0.963	bias	7.83E-04	CDH1,CXCR4,DUSP1,FOS,IRS1,JUNB,MMP9,TNF	262 (21)	
sirolimus	 	chemical drug	 	-0.916	bias	5.94E-03	ADA,CD40,CD80,CDKN2A,CTLA4,CXCR4,DPP7,EEF1A1,EGR1,ERBB2,FOS,FSCN1,HSP90AA1,HSPA5,IFNG,IGF1R,IL4R,IRS1,IRS2,JUNB,KL,MMP9,NR4A3,ODC1,PGAM2,PPARG,PRNP,RPL13A,RPL18A,RPSA,SCD,SLC3A2,SOCS3,TNF,VEGFA	223 (21)	
chloropromazine	 	chemical drug	 	1.857	bias	4.13E-04	FOS,IL18,NR4A1,NR4A2,NR4A3,SC5D,SCD,TNF	178 (14)	
doxycycline	 	chemical drug	 	1.953	 	3.78E-01	HSPA1A/HSPA1B,JCHAIN,MMP9,PLK3	 	
cuprizone	 	chemical toxicant	 	 	 	4.19E-02	FOS,SOCS3,TNF	 	
PD184352	 	chemical drug	 	-0.647	 	1.59E-04	CD40,EGR1,ESR1,FOS,HSPA5,RARB	241 (22)	
ozone	 	chemical toxicant	 	0.815	bias	5.78E-03	CCR3,FOS,IFNG,JUNB,TNF	218 (19)	
phenylacetic acid	 	chemical - endogenous mammalian	 	 	 	5.59E-03	HLA-A,TIMP2	 	
nedocromil sodium	 	chemical drug	 	 	 	5.78E-03	IFNG,MMP9,TNF	130 (6)	
diclofenac	 	chemical drug	 	-0.864	 	1.55E-02	FOS,HPGD,IFNG,TNF,VEGFA	 	
isoprenaline	 	chemical drug	 	1.471	 	9.62E-06	FOS,MMP9,NR4A1,NR4A2,NR4A3,PER1,TNF	215 (19)	
cyclophosphamide	 	chemical drug	 	0.279	bias	4.93E-03	ATF3,CDKN2A,FOS,IFNG,IL18,IL1R2,ODC1,TGIF1,TNF	250 (20)	
azetidyl-2-carboxylic acid	 	chemical reagent	 	 	 	1.37E-02	HSPA1A/HSPA1B,HSPA5,HSPA8	 	
raclopride	 	chemical drug	 	1.940	bias	1.15E-04	FOS,NR4A1,NR4A2,NR4A3	 	
methamphetamine	 	chemical drug	 	0.553	bias	1.40E-03	CREM,EGR1,FOS,FOSB,FOSL2,IGF1R,MMP9,NR4A1,TIMP2,TNF	236 (19)	
cyclopiazonic acid	 	chemical - endogenous non-mammalian	 	 	 	3.07E-02	EGR1,FOS,TNF	 	
EGTA acetoxymethyl ester	 	chemical reagent	 	 	 	2.56E-02	TNF,VEGFA	 	
rimonabant	 	chemical drug	 	-0.247	bias	2.22E-02	FOS,HSPA5,MMP9,TNF	 	
LY294002	 	chemical - kinase inhibitor	 	-1.409	bias	1.11E-06	ABCG2,ANPEP,ATF3,BHLHE40,CD274,CD69,CDH1,CDKN2A,CHML,CREM,DLG2,DSCAM,DUSP1,EGR1,EGR3,ESR1,ETS2,FOS,FOSB,GP1BA,HSPA5,IFNG,IGF1R,IL1R2,INPP4B,IRS1,IRS2,ISG20,ITGA2B,JUNB,MEN1,MMP9,MTTP,NR4A1,NR4A2,NR4A3,PLK2,PPARG,RGS1,RGS2,SCD,SOCS3,TNF,TNFAIP3,VCAN,VEGFA,ZFP36L2	294 (20)	
gefitinib	 	chemical drug	 	-1.664	 	4.73E-02	C3,CDH1,EGR3,FSCN1,GADD45B,IL1R2,PPARG,PRKCG,SLPI,Sult1a1,TIMP2,VEGFA	 	
silicon dioxide	 	chemical drug	 	 	 	3.07E-02	FOS,JUNB,TNF	 	
methyl methanesulfonate	 	chemical toxicant	 	1.405	bias	1.06E-02	ATF3,CDH1,CDKN2A,EGR1,GADD45B,KLF4	 	
bryostatin 1	 	chemical drug	 	0.583	bias	1.15E-03	CD40,CD80,CXCR4,IFNG,ODC1,TNF	184 (15)	
nitrous oxide	 	chemical drug	 	 	 	5.59E-03	FOS,TNF	 	
toremifene	 	chemical drug	 	1.000	bias	9.44E-04	ABCG2,CD80,ERBB2,KLK3	219 (10)	
7-nitroindazole	 	chemical reagent	 	 	 	3.60E-02	FOS,FOSB,IFNG	 	
LG100268	 	chemical reagent	 	-1.910	 	9.67E-02	NR1H3,SCD,SLC27A1,TNF	 	
vesnarinone	 	chemical drug	 	 	 	1.92E-03	Abcb1b,TNF	166 (7)	
tacrolimus	 	chemical drug	 	0.818	 	2.39E-03	CCR3,CD200,COL10A1,CXCR4,DPYSL5,EGR1,F5,FOS,FOSB,ID3,IFNG,JUNB,NR4A1,ODC1,PRNP,TJP1,TLE1,TNF	208 (19)	
resiquimod	 	chemical drug	 	-0.552	bias	9.27E-03	AIF1,ATF3,CD40,ETS2,HHEX,IFNG,IL15,IL18,IRAK3,NAMPT,NFKBIZ,TLR8,TNF,TNFSF13B,TNFSF4	206 (15)	
ubiquinone 9	 	chemical - endogenous non-mammalian	 	 	 	2.57E-03	HSPA1A/HSPA1B,IFNG,TNF	250 (17)	
cytochalasin B	 	chemical toxicant	 	 	 	5.78E-03	MCAM,MMP9,TNF	249 (23)	
nitric oxide	 	chemical - endogenous mammalian	 	0.360	bias	2.18E-04	AHR,ATF3,BNIP3,CDKN2A,DUSP1,EGR1,FOS,HSP90AA1,IFNG,IL18,JUNB,MMP9,MT-CO1,ODC1,TIMP2,TNF,TNFSF13B,VEGFA	239 (20)	
justicidin A	 	chemical - endogenous non-mammalian	 	 	 	4.38E-02	TNF	 	
guanfacine	 	chemical drug	 	 	 	4.38E-02	FOS	 	
ketamine	 	chemical drug	 	1.174	 	1.81E-03	CREM,FOS,KLF6,NR4A1,TNF	224 (16)	
sorafenib	 	chemical drug	 	-1.276	bias	8.31E-04	ATF5,CD69,HSPA5,IFNG,OAS1,PPP1R15A,TNF	248 (23)	
linsidomine	 	chemical drug	 	0.152	 	4.23E-05	CD80,CDKN2A,EGR1,IFNG,NR4A1,PPARG,TNF,VEGFA	238 (19)	
nelfinavir	 	chemical drug	 	 	 	1.73E-02	LIPE,MMP9,PPARG	 	
diphenyleneiodonium	 	chemical reagent	 	0.271	bias	1.08E-02	Abcb1b,DUSP2,FOS,IGF1R,IL18,MMP9,VEGFA	 	
ethyl pyruvate	 	chemical drug	 	 	 	3.60E-02	MMP9,TJP1,TNF	 	
atipamezole	 	chemical drug	 	 	 	8.39E-05	EGR1,FOS,JUNB	 	
chloroquine	 	chemical drug	 	-0.594	 	1.79E-03	CD40,CD69,IFNG,PRNP,SNCA,SOCS3,TNF,TNFSF13B	246 (18)	
BAPTA-AM	 	chemical reagent	 	-0.917	bias	4.88E-04	ATF3,CDH1,EGR1,FOS,HSPA5,NR4A1,SOCS3,TNF	249 (21)	
styrofoam	 	chemical reagent	 	 	 	4.38E-02	VEGFA	 	
vadimezan	 	chemical drug	 	 	 	3.48E-02	IFNG,TNF	 	
6,7-dinitroquinoxaline-2,3-dione	 	chemical reagent	 	1.732	bias	5.12E-05	EGR1,FOS,FOSB,JUNB	 	
Pam3-Cys	 	chemical toxicant	 	1.506	bias	4.98E-02	CD69,CD80,IFNG,POU2AF1,TNF	 	
Sch-23390	 	chemical drug	 	-1.338	bias	1.43E-02	EGR1,FOS,FOSB,RYR1	 	
mechlorethamine	 	chemical drug	 	 	 	3.98E-03	ATF3,CD40,PIK3R3	 	
rosiglitazone	 	chemical drug	 	-0.743	bias	3.40E-03	ADA,C3,CD80,CDH1,CIITA,FABP3,FOS,HPGD,HSPA5,IFNG,IL18,IRS1,IRS2,KLF4,KLK3,LIPE,MMP9,NR1H3,OAS1,PENK,PFKM,PLCL1,PPARG,RARB,RGS2,SCD,SERPINF1,SLC27A1,SOCS3,TNF,VEGFA	286 (19)	
celecoxib	 	chemical drug	 	-0.458	 	5.27E-03	ABCG2,BLK,CDH1,ESR1,HSPA5,IFNG,IGF1R,MAGI1,MMP9,PPARG,RARB,TNF	282 (24)	
methacholine	 	chemical drug	 	 	 	5.59E-03	SLPI,TNFSF4	 	
raloxifene	 	chemical drug	 	0.728	 	1.88E-04	BLNK,CLK1,DUSP1,EGR3,ENPP2,EPHA1,ERBB2,ESR1,HSPA1A/HSPA1B,IL18,IRF6,KLF6,KYNU,MATN2,PAX5,PLK2,PLK3,SELENBP1,TNF	252 (16)	
4-nitroquinoline-1-oxide	 	chemical toxicant	 	 	 	3.07E-02	EGR1,FHIT,MMP9	 	
isobutylamine	 	chemical - endogenous non-mammalian	 	 	 	1.92E-03	IFNG,TNF	 	
cilomilast	 	chemical drug	 	 	 	5.59E-03	CXCR4,TNF	198 (15)	
bepafant	 	chemical reagent	 	 	 	2.56E-02	TNF,VEGFA	 	
ethylene glycol tetraacetic acid	 	chemical reagent	 	-0.555	bias	2.42E-02	CD80,EGR1,FOS,HSPA5,IFNG	 	
rotenone	 	chemical toxicant	 	-1.549	 	1.30E-02	FOS,IFNG,MMP9,NR4A2,SNCA,TIMP2,TNF	 	
thioperamide	 	chemical reagent	 	 	 	4.38E-02	CHRM3	 	
tranilast	 	chemical drug	 	-0.294	bias	2.15E-04	CD40,CD80,CDH1,IFNG,KL,TNF	251 (17)	
monorden	 	chemical - endogenous non-mammalian	 	 	 	2.57E-02	Hspa1b,HSPA5,IRS1	 	
bortezomib	 	chemical drug	 	1.290	 	7.81E-06	ALAS2,ATF3,BNIP3,CDKN2A,CSF2RB,CXCR4,DNAJB2,ERBB2,FANCA,FANCL,FCMR,GADD45B,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA5,IFNG,IGF1R,IRS1,ODC1,PPP1R15A,SNCA,SRXN1,TLR8,TNF,ULBP1	273 (19)	
rolipram	 	chemical drug	 	0.282	 	1.68E-03	CD80,CXCR4,DUSP1,IFNG,MMP9,TNF	229 (20)	
batimastat	 	chemical - protease inhibitor	 	 	 	3.60E-02	LIPE,MMP9,VEGFA	 	
ferric nitrilotriacetate	 	chemical toxicant	 	 	 	2.56E-02	ID3,KLF4	 	
levothyroxine	 	chemical - endogenous mammalian	 	-0.000	bias	5.49E-03	Abcb1b,CDK14,CDKN2A,ESR1,FOS,MT-CO1,PENK,PEX11B	252 (20)	
Sb202190	 	chemical - kinase inhibitor	 	-1.483	bias	7.32E-03	EGR1,FOS,HSPA5,IFNG,IL18,JUNB,MMP9,PLA2G4A,TGM1,TIMP2,TNF,VEGFA	273 (21)	
TPCA-1	 	chemical - kinase inhibitor	 	 	 	3.48E-02	IFNG,TNF	 	
famotidine	 	chemical drug	 	 	 	7.85E-04	CD80,COL10A1,TNF	 	
clonidine	 	chemical drug	 	-1.067	bias	9.44E-04	EGR1,FOS,RARB,TNF	183 (16)	
dithiothreitol	 	chemical reagent	 	1.964	bias	3.25E-02	ATF3,ERBB2,HSPA5,VEGFA	 	
deoxyspergualin	 	chemical drug	 	 	 	4.38E-02	TNF	 	
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	 	chemical toxicant	 	0.262	bias	4.11E-03	AIF1,EGR1,EGR3,FOS,FOSB,NR4A1,NR4A2,PENK,TNF	250 (19)	
fluphenazine	 	chemical drug	 	1.940	bias	5.12E-05	FOS,NR4A1,NR4A2,NR4A3	 	
ondansetron	 	chemical drug	 	 	 	4.38E-02	FOS	 	
bicalutamide	 	chemical drug	 	1.255	bias	2.46E-03	CDH1,F5,FOS,GTSE1,IGF1R,KLK3,PMEPA1	278 (19)	
cilostazol	 	chemical drug	 	-1.091	 	1.95E-02	GCH1,MMP9,NR4A2,TNF,VEGFA	 	
nafoxidine	 	chemical drug	 	 	 	4.38E-02	C3	 	
cyclothiazide	 	chemical drug	 	 	 	4.38E-02	EGR1	 	
anisomycin	 	chemical - endogenous non-mammalian	 	1.482	 	4.22E-07	ABCG2,AHR,ATF3,DUSP1,EGR1,FOS,HSPA5,IRS1,JUNB,NR4A1,SKIL,TNF,VEGFA	230 (23)	
flurothyl	 	chemical drug	 	 	 	4.38E-02	FOS	 	
okadaic acid	 	chemical toxicant	 	1.776	 	7.98E-06	ANXA1,BNIP3,CYP17A1,EGR1,ESR1,FOS,FOSB,FOSL2,GCH1,JUNB,KLF4,MMP9,ODC1,RARB,TNF	239 (21)	
KN-62	 	chemical - kinase inhibitor	 	-0.816	bias	6.03E-04	ATF3,EGR1,MMP9,PPARG,PPP1R15A,TNF	249 (21)	
BG60	 	chemical reagent	 	 	 	4.38E-02	TNF	 	
2-mercaptoethanol	 	chemical - endogenous mammalian	 	 	 	3.48E-02	ATF3,HSPA5	 	
isopentenyl diphosphate	 	chemical - endogenous mammalian	 	0.000	 	1.91E-03	CCR8,FCGR3A/FCGR3B,IFNG,TNF	192 (16)	
calphostin C	 	chemical - kinase inhibitor	 	-0.870	bias	1.81E-03	CYP17A1,DUSP1,FOS,HSPA5,IGF1R,MMP9,PPARG,TNF,VEGFA	207 (18)	
SR 140333	 	chemical reagent	 	 	 	4.38E-02	IFNG	 	
clozapine	 	chemical drug	 	1.710	bias	4.96E-03	Abcb1b,EGR1,FOS,NR4A1,NR4A2,NR4A3,SC5D,SCD	183 (15)	
pioglitazone	 	chemical drug	 	0.581	 	2.54E-04	CD80,CYP17A1,EGR1,FOS,HPGD,IFNG,IRS1,IRS2,KLF4,KLK3,LIPE,MMP9,NR4A1,NR4A3,PPARG,RARB,SLC27A1,TNF	252 (18)	
NS-398	 	chemical reagent	 	-1.795	bias	1.29E-02	Abcb1b,CDKN2A,CXCR4,IFNG,MAGI1,MMP9,PPARG,TNF,VEGFA	 	
W7	 	chemical reagent	 	0.577	bias	6.85E-03	CD80,FOS,KLK3,NR4A1	243 (19)	
volinanserin	 	chemical drug	 	 	 	3.48E-02	EGR1,FOS	 	
cycloheximide	 	chemical reagent	 	0.467	 	2.11E-04	Abcb1b,AHR,CD8A,CXCR4,DUSP1,EEF1A1,EGR1,ESR1,FOS,FOSB,FOSL2,GADD45B,IFNG,IL1R2,IL4R,IRS2,ISG20,JUNB,KDM6B,KLK3,KSR2,MT-CO1,MT-CO2,NR1H3,NR4A1,PPARG,RGS2,SCD,SOCS3,TNF,TNFAIP3,VEGFA	237 (18)	
haloperidol	 	chemical drug	 	1.626	bias	1.31E-03	EGR1,FOS,FOSB,GGT1,NR4A1,NR4A2,NR4A3,PENK,PER1,SC5D,VEGFA	206 (16)	
domoic acid	 	chemical toxicant	 	 	 	4.51E-02	FOS,TNF	 	
brefeldin A	 	chemical - endogenous non-mammalian	 	0.390	 	1.38E-03	GADD45B,GP1BA,HLA-A,HSPA5,IFNG,KLF4,PRNP,TNF	262 (18)	
phenyl-N-tert-butylnitrone	 	chemical reagent	 	0.000	bias	5.52E-03	CD40,CD80,HSPA1A/HSPA1B,TNF	259 (17)	
pyruvic acid	 	chemical - endogenous mammalian	 	 	 	2.13E-02	FOS,NR4A1,VEGFA	 	
anethole	 	chemical - endogenous non-mammalian	 	 	 	3.48E-02	CDH1,MMP9	 	
SB203580	 	chemical - kinase inhibitor	 	-1.138	bias	2.50E-05	ANXA1,ATF3,C3,CD40,CD80,CDH1,CDKN2A,CEACAM1,CIITA,DUSP1,EGR1,EHF,ETS2,FABP3,FOS,FOSB,HSPA5,IFNG,IL18,ISG20,JUNB,MMP9,NAMPT,NR4A1,PENK,PPARG,PPP1R15A,SERPINB9,SLPI,SOCS3,TGM1,TIMP2,TNF,VEGFA	246 (21)	
fluvoxamine	 	chemical drug	 	 	 	4.51E-02	FOS,ITPKB,NR4A2,RPL13A	 	
dimaprit	 	chemical drug	 	 	 	1.76E-02	CD80,TNF	 	
