© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
TARDBP	-17179.606	transcription regulator	 	-1.501	1.12E-02	BCL2L11,CASP3,FIS1,HDAC6,IFNG,MEF2D,MFN1,MT-ND6,RPS6KB1,TARDBP,TBC1D1,VPS4B	 	
KRT19	 	other	 	-0.651	1.41E-02	EIF2S1,ERP29,HSPA5,PTEN	 	
MAPT	 	other	 	-0.342	1.95E-06	ACTG1,ALDOA,AMPH,ARF4,ATOX1,ATP1B1,ATP5C1,Atp5e,ATP5J,ATP6V1A,ATP6V1E1,C1QBP,CAMK2D,CANX,CAP1,CAPN1,CASP3,CAST,CDK5R1,CDKN1A,CDKN1B,CKB,CLTA,CLTC,CPLX2,CS,CYCS,DPY19L3,DPYSL3,DSTN,ENSA,FBL,FOS,Fus,GDI2,GNA12,GNG2,GOT2,GPANK1,GPX4,GRIN1,GSTP1,H2AFJ,H2AFV,HIST1H2AD,HIST1H4I,Hnrnpa3,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPD1,IFNG,LATS1,MAP1B,MAP6,MAPK8,MDH1,NDUFA5,NDUFS3,NDUFS4,NDUFS6,NME1,PAFAH1B2,PAK1,PGK1,PKP3,PPP3R1,PRDX3,SUCLG1,SYN1,TPM3,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUFM,UBC,UQCRQ	1057 (13)	
RASSF1	-2324.838	other	 	-1.035	1.91E-03	BHLHE40,BMPR2,CASP3,CCNA2,CCND2,CDKN1A,COL4A1,COL4A2,CREG1,CXCR4,EGR1,EMP1,EPB41L3,FOS,FRMD4B,HIST1H2BC,KLF10,KLF4,LIF,LITAF,MAP1B,PAK1,PCDH7,PLK2,PTGS2,RASGEF1A,SELENOP,SPP1,TUBB	1103 (16)	
BCL2L11	-18.049	other	 	-1.960	5.01E-01	BCL2L11,CASP3,IL10,TGFB1	 	
MMP14	-20.594	peptidase	 	-0.540	2.91E-02	ANXA7,ATF3,CDKN1A,DAPK1,IL10,LRP1,Mx1/Mx2,PTGS2,SNRPB2,STK38,VEGFA	 	
NFYB	-4840.132	transcription regulator	 	 	1.41E-02	ACLY,ACTB,ACTR6,AMD1,AP4B1,APOBEC3B,BCL2L11,BET1,BRF1,CEP57L1,CIP2A,DTL,DZIP3,ELAVL1,EMC6,ENTPD7,FBXO42,FIZ1,FLCN,FLRT2,GART,GGPS1,GNA12,GPAM,GPR160,GRK3,GTF2H2,H2AFJ,HLA-DQB1,HSPA13,INTS7,KBTBD8,KIAA0930,KLHL3,LCOR,MARCH5,METTL9,MLH1,MVK,PGM3,PGRMC1,PSMC6,PTPN6,PTTG1,RAD51,RHOB,RNPS1,RPL41,RRM2,SDF2,SESN1,SNX6,ST8SIA4,SYNJ2,TAX1BP3,TJP1,TM7SF3,TMEM87A,TSNAX,TXNDC12,UBE3B,UHRF1,USP10,VPS52,ZMPSTE24,ZMYM3	 	
FOXP3	-69.859	transcription regulator	 	-0.158	3.56E-02	BCL2L11,BRCA1,CDKN1A,CTLA4,EZH2,FASLG,HLA-A,IFNG,IL10,IL21,IRF4,JMY,MAPK8,NFIL3,NRP1,NT5E,PDE3B,PIM2,Pmaip1,POLD1,POLD3,PTPN22,RGS1,SELL,TGFB1,TNFAIP3,VEGFA	 	
TFRC	-66654.623	transporter	 	-1.225	2.30E-03	APAF1,ATF3,ATF6,BCL2L11,CASP3,CCNA2,CDC20,CDKN1A,DDIT4,ERO1A,FOS,HERPUD1,HK2,HMOX1,HSPA5,ITGAM,LY75,PFKFB3,PLD4,Pmaip1,PPP1R15A,RGS1,SLC11A2,SLC2A1,TNFRSF12A,TNFSF10,TREML2	 	
TERT	-1592.694	enzyme	 	-0.329	4.09E-02	AKAP2,ASNS,ATF3,B2M,BAX,CALU,CCND2,CCNE1,CDKN1A,ELK3,F2RL2,FAM213A,GLB1,HDHD5,IFI16,IFIT1,IFIT2,ISG15,ITGAV,LEF1,MFGE8,MGME1,NOP58,PAX6,PTGS2,RAB9A,RABEPK,RBBP4,RRM2,SPIN1,SPP1,SSR3,TERC,TERT,TK1,ZRANB1	 	
CCNA2	-2005.211	other	 	 	2.79E-02	CCNA2,CDKN1A,CDKN1B,MYBL2	 	
PRKCI	-2897.673	kinase	 	-1.985	2.82E-02	CXCL3,ECT2,HK2,HMOX1,IL10,PRKCI,PTGS2,RFC4,SLC2A1,SREBF1	 	
SMC3	-4.287	other	 	 	3.02E-03	BMPR2,CCNG2,HLA-DQA1,HLA-DQB1,IRS2,ODC1,PIM2,THBS1	99 (3)	
PNN	-3.480	other	 	0.640	4.90E-02	CDK4,CDK5,CDKN1A,DFFA,RHOA,TBRG4	 	
miR-155-3p (miRNAs w/seed UCCUACC)	 	mature microrna	 	 	3.61E-02	DNAJA2,DNAJB1	 	
mir-15	20.509	microrna	 	1.075	3.53E-02	BCL2L2,CCND2,CCNE1,CD69,CDK7,DICER1,EIF2B2,HSPA1A/HSPA1B,IFIT1,IFNG,ISG15,OAS1,PIM1,PTGS2,Rnf125,SMURF2,TARBP2,TFAP4,WEE1	 	
miR-487b-3p (miRNAs w/seed AUCGUAC)	 	mature microrna	 	 	3.61E-02	CDKN2AIP,MAP2K4	 	
miR-129-5p (miRNAs w/seed UUUUUGC)	 	mature microrna	 	1.756	1.43E-03	AGO3,BMPR2,CAMTA1,FNDC3B,GALNT1,PDS5A,TNPO1	 	
miR-101-5p (miRNAs w/seed AGUUAUC)	 	mature microrna	 	 	3.61E-02	ATM,PRKDC	 	
miR-489-3p (miRNAs w/seed UGACAUC)	 	mature microrna	 	 	3.61E-02	GCA,PEX7	 	
NEDD8	-1182.987	enzyme	 	 	3.61E-02	IFNAR1,TK1	 	
mir-32	 	microrna	 	1.998	1.30E-03	BCL2L11,BTG2,MDM2,TSC1	 	
E4F1	1.351	transcription regulator	 	 	2.79E-02	CCNA2,DLD,IDS,MPC1	 	
BMI1	 	transcription regulator	 	-1.807	1.68E-01	ATM,AURKA,CCNE1,CDC14A,CDKN1A,CDKN1B,CDKN2D,HK2,MCM3,RRM1,TERT,VEZT	 	
TOPORS	-2.821	enzyme	 	 	2.35E-02	BAX,CDKN1A,MDM2	 	
ADCYAP1	 	other	 	-1.807	1.00E00	ADD3,AKT1,ATRN,B4GALT3,BTG2,CCNA2,CCNI,CLCF1,CREB1,CXCL3,EGR1,ELAVL1,EMB,FASLG,FOS,FRRS1,GATA3,Hmgn2 (includes others),IDH2,IER3,IL10,ITGAM,KIF23,PHEX,POR,PPP1R3B,RAB3IP,RHOB,RNF34,RPSA,S100A10,SELENOT,SLC2A1,SMAD1,SOCS3,TCF4,TGFBI,TICAM1,TK1,TMPO	 	
SALL2	-180.634	transcription regulator	 	 	3.61E-02	BAX,CDKN1A	 	
AMBN	 	growth factor	 	-1.067	5.52E-03	CDKN1A,CDKN1B,RHOA,TNFRSF1B	 	
CSF2RA	-304.121	transmembrane receptor	 	-1.153	5.20E-03	CCND2,FOS,ITGAM,JUNB,PIK3CG,PIM1,Usp17la (includes others)	850 (9)	
IRAK4	-1.031	kinase	 	0.000	8.63E-03	ATF3,BTG2,CSRNP1,CXCL3,EGR1,FOS,FOSB,IDE,IFNG,IFRD1,IL10,IRF4,IRF5,IRF7,LIF,NFKBIZ,NR4A1,PLSCR1,RASA2,SLC25A25,TNFAIP3,ZC3H12A,ZFP36	1061 (19)	
MTBP	-625.259	other	 	 	8.29E-03	CAD,CCND2,CDKN1A,CDKN1B,ODC1	 	
PSG1	 	other	 	 	3.61E-02	TGFB1,VEGFA	 	
ARNT	4.954	transcription regulator	 	-1.905	3.95E-03	ADAM17,AHR,AKT2,ALDH7A1,ALDOA,BHLHE40,CCND2,CCR5,CCR7,CDK4,CXCR4,DEGS1,ERO1A,G6PD,HK2,IL10,IRS2,ITGAV,MPP1,MYL6,MYO1C,NDUFS3,NDUFS4,PGK1,PGM2,PRF1,RANGAP1,S1PR1,SELL,SLC2A1,SOCS3,TFRC,TP53RK,TUBA4A,VEGFA	757 (7)	
CALCR	 	g-protein coupled receptor	 	 	2.35E-02	CDKN1A,CDKN1B,FOS	 	
PARP1	-2.955	enzyme	 	-1.516	3.01E-02	ABCA1,ATXN10,BAX,BRCA2,CD274,CTLA4,CXCL3,ECE1,FOS,GBP7,HMOX1,IFNG,Iigp1,IL10,IRGM,KRAS,LIF,MDM2,MT-CO1,POLA1,POU2F1,PRIM2,PTGS2,SELP,SH3BP2,SLC38A2,Tgtp1/Tgtp2,TLR1	 	
ID3	-1.951	transcription regulator	 	0.220	2.07E-04	ADSS,APAF1,BCL2L11,BCL6,BMP7,CBFA2T3,CCND2,CCNE1,CCNE2,CCNG2,CCR7,CCR8,CD72,CDKN1A,CDKN1B,CXCR4,CXCR6,DTX2,DUSP1,E2F2,ETS2,G6PC3,GADD45B,ICOSLG/LOC102723996,IFI16,IFNG,IFNGR2,IKZF4,IL10,IL21,IL4R,IRF4,IRF5,IRF8,JAK2,KLF6,MAP4K3,NR4A1,NR4A3,PDCD1,PIK3C2B,PIK3IP1,PIK3R1,PTPN22,REL,RORA,SELL,SH2D1A,SLAMF1,SOCS3,STAT4,TCF4,TNFSF10,TRAF4	137 (2)	
DRD1	 	g-protein coupled receptor	 	 	4.13E-02	EGR1,FOS,FOSB,JUNB,S100A10	 	
RHOH	-32.613	enzyme	 	-0.132	5.52E-03	CDKN1A,CDKN1B,IFNG,IL3RA	 	
STAT6	-4.828	transcription regulator	 	-0.512	2.04E-03	ABLIM1,ACOX1,Acp5,ACSL1,ADAM19,AUH,BAX,BCL6,CCND2,CCR5,CCR7,CD38,CD69,CDKN1A,CDKN1B,COBLL1,CPOX,CRIP1,CST7,CTSB,CTSS,CXCL3,DENND4A,DGKA,EGR1,FCGR2A,FLRT2,GADD45B,GATA3,GBP3,GNA15,HMGCR,ICOSLG/LOC102723996,IFI16,IFIT3,IFNAR2,IFNG,IL10,IL18R1,IL4R,IRF4,IRF7,IRS2,ISG15,ISG20,JAK2,KRR1,LIF,LPIN2,Ly6a (includes others),MOV10,Ms4a4b (includes others),MVK,Mx1/Mx2,NCOA3,NFIL3,PIM2,PLSCR1,PPP3CC,PTGS2,S100A10,SELP,SERPINB6,SLC25A25,STAT2,STAT4,SYK,SYNGR2,TBC1D17,TBX21,Tgtp1/Tgtp2,TLE1,Trim30a/Trim30d,TXK,ZFP36,Zfp53	940 (13)	
L1RE1	 	other	 	-1.980	4.76E-02	ACD,KLF4,POT1,TERT	 	
BNIP3L	-112.321	other	 	1.213	2.32E-02	ANK1,AURKA,CCNA2,CCNE2,Dleu2,EIF2AK1,GPSM2,IL16,KIF11,MAP4K1,MYBL2,NT5C3A,RRM2,STAT3,SYK,TFRC,TGFB1	 	
GH1	 	growth factor	 	-1.838	2.59E-01	ABCC1,ATF3,CREB1,CXCR4,EGR1,FOS,GRIN1,GTF2H1,IL4R,ITGA1,JUNB,LDLR,MLH1,NRAS,PRDX1,PTEN,RHOA,RYK,SOCS3,SPP1,SREBF1,TFAP2A,UBA7,XRCC6,ZFP36	 	
Raet1d/Raet1e	 	other	 	 	3.61E-02	HLA-A,IFNG	 	
HLA-A	-2437.712	other	 	-1.982	2.37E-02	HLA-A,IFNG,LAG3,MEF2C,MEF2D,PDCD1	 	
ADORA2A	-1.559	g-protein coupled receptor	 	-0.503	1.14E-04	ABCA1,AKT2,ARHGEF7,Atp5e,ATP6AP1,ATP6V1B2,ATP8A1,B4GALT3,CCT5,CD28,CKB,CSF1R,DGAT2,DSTN,DUSP1,EEF2,EIF2S2,FBL,FOS,Fus,GDI1,HMOX1,IFNG,IL10,KCNB1,NR4A1,NR4A2,NR4A3,PDCD1,PMPCA,PPP2CA,PPP3R1,PTGS2,RAB6A,ROCK1,STK38,SYT11,TGFB1,TIMM44,TJP1,TUBB4A,VEGFA,VPS4A	1009 (15)	
SLC6A3	 	transporter	 	1.987	4.56E-01	CDK5,CDK5R1,CLSTN1,FOSB	 	
POLDIP3	-7.653	other	 	 	3.61E-02	CDKN1A,ISG15	 	
DTX1	8.643	transcription regulator	 	-1.035	5.27E-03	AKT1,AKT2,APPL1,EGR1,HIGD1A,LY6E,MAP3K1,NAE1,SPP1,UHMK1,VEGFA	 	
GNB2	2.126	enzyme	 	 	1.53E-02	AHR,CDKN1A,CREM,CXCL3,DGAT1,DUSP1,FBXO31,FOSB,FOSL2,IER3,NR4A1,NR4A2,PLK2	 	
AURKB	-137.383	kinase	 	0.308	2.41E-02	ANK1,ATF3,BAX,BLM,CCNA2,CDKN1A,IER3,MCM3	 	
CLOCK	-8.647	transcription regulator	 	 	1.66E-04	ACOX1,ADPGK,BHLHE40,C1QBP,CCNT1,CD7,CHTF8,CYP51A1,EEF2K,GADD45B,HLA-DQB1,HSF2,Hspa1b,HSPH1,IKBKE,JUNB,KAT5,KRR1,LGALS8,MAPK8,MID1IP1,MIIP,NDUFA3,NFIL3,PA2G4,PAFAH1B2,PER1,PER3,PIGA,POR,PPIF,PRELID3B,RANGAP1,RAP2B,RIOX2,SEL1L,SLC30A5,SMARCD2,Smim11,SRR,ST6GALNAC4,TBRG4,TMED3,TMEM222,Trim30a/Trim30d,WEE1,ZZZ3	 	
VAV1	-2.121	transcription regulator	 	-0.912	4.45E-02	BAX,CCND2,CD69,CDKN1B,ELK1,FOS,IFNG,PTGS2,VEGFA	 	
SUPT16H	-2.547	transcription regulator	 	 	3.48E-02	CDKN1A,DUSP5,EGR1,HIST1H1C,HIST1H2AC,HSPA1A/HSPA1B,LYPLA1,RFWD2,TOP1	 	
KRAS	-29.055	enzyme	 	-1.641	1.08E-07	ABCA1,ACTR3,AGO2,AHCTF1,AHR,AIMP2,ALDOA,AMPH,APLP2,ATF3,ATG5,ATG7,ATP1B1,B2M,BCL7C,BDH1,CAD,CASP1,CASP2,CASP3,CCNA2,CCP110,CCT5,CD274,CD3EAP,CD74,CDKN1A,CDKN1B,CDT1,CLNS1A,COL4A1,CXADR,DUSP1,DUSP5,EEF1A1,EI24,EIF2AK2,EIF4E,ELK1,ENOPH1,ERO1A,EXOSC5,EZH2,F2RL1,FASLG,FLOT2,FOS,FOSB,G6PD,GBA,GCLC,GZMK,HADHB,HEXA,HIRA,HMOX1,HSPA5,HYOU1,IER3,IFIT1,IFNG,IGF2,ILK,IRF2,ISG15,JUNB,KAT5,KLF6,KRAS,LEF1,LGALS9B,LIF,Ly6a (includes others),MAN2A1,MAP2K1,MDM2,MT-CO1,MT-ND4,MTRR,Muc4,MYBL2,NAB1,NDE1,NFE2L2,NFKBIB,NFYB,NME2,NR4A1,NRAS,NSF,NT5E,NXN,OAS1,ODC1,PA2G4,PAIP2,PAK1,PARVA,PIM1,PPFIBP1,PRC1,PRKCD,PSMC6,PTEN,PTGS2,Pvr,RAB20,RBM7,RCL1,RHOA,RHOB,RHOC,RNH1,ROCK1,RPSA,SCMH1,SEC11C,SLC25A32,SLC29A1,SLC35B1,SLC3A2,Slfn2,SNX16,SPP1,SREBF1,STAT2,STAT3,STOM,TBX21,TCEA1,THBS1,TK1,TMEM109,TNFRSF12A,TRIB1,Trim30a/Trim30d,TRMT2A,TUBA4A,UBA1,UBE2I,VEGFA,WEE1,ZFP36L1	1065 (16)	
BOP1	-4380.333	other	 	 	2.35E-02	BOP1,CDKN1A,CDKN1B	 	
MAPKAP1	-3.201	other	 	-1.633	4.87E-03	IFI16,IFIT2,Mx1/Mx2,PHF11,PTEN,SREBF1	 	
LIMS2	 	other	 	-1.029	1.41E-02	CTNNA1,ILK,PARVA,TJP1	 	
TOB1	-7.433	transcription regulator	 	1.000	1.31E-02	AMOTL2,ATM,ATR,CCNA2,CDKN1A,CDKN1B,CDT1,KAT8,LETMD1,MBNL2,STAG1,TCN2,TMED7,TP53RK,TTC5,UBA6	 	
CCND2	-14.753	other	 	 	1.57E-02	CCND2,CCNE1,CDK4,CDKN1B,VEGFA	 	
TPP2	-2.925	peptidase	 	 	2.35E-02	IFNG,PRF1,TBX21	 	
RPS6KA4	-968.379	kinase	 	-1.988	1.04E-01	DUSP1,FOS,IL10,JUNB	 	
LONP1	-14.465	peptidase	 	1.854	1.33E-08	ATP5J,ATPIF1,C1QBP,CALU,DLD,ECI1,ETFB,GARS,GFER,GLUD1,HIST1H2BC,HSPA9,HSPD1,IDH3A,IMMT,MARS,MRPL18,MRPS22,MT-ATP6,MT-CO1,MT-CO2,MT-CYB,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,NDUFA11,OXCT1,PTGS2,SMDT1,TPM3,TUFM,UQCRFS1	 	
ARRB2	-7.993	other	 	0.570	4.50E-02	ADRB2,ARRB1,CXCL3,EGR1,GSK3B,IL10,JUNB,NFKBIZ,PTGS2,VEGFA	 	
S100A8	 	other	 	-1.834	1.00E00	ACSS1,ADAMTS1,AKAP12,ATF3,BHLHE40,BIRC2,CASP1,CCNE2,CD274,CD69,CSTF1,CTLA4,CXCL3,DDIT4,FCGR2A,HMOX1,IL10,ISG15,ITGAM,MCF2L,NR4A3,PER1,PIK3IP1,PLK3,RAB20,SGK1,TNFAIP8,USP18	 	
IFI30	 	enzyme	 	 	3.61E-02	CTSS,HLA-A	 	
TNFSF13B	1.060	cytokine	 	-1.824	3.68E-02	ARCN1,BAX,BCL2L11,BCL6,CCND2,CCR7,CDK4,CTSS,DUSP5,FCGR2B,GPR183,HLA-DQA1,ICOSLG/LOC102723996,IL10,NAMPT,PIM2,SELL,SPP1	 	
CDKN1A	-89.798	kinase	 	0.841	1.37E-04	ACP1,ACTB,ARL6IP1,ASPM,AURKA,BAX,BIRC2,BRCA1,BUB3,CASP3,CCNA2,CCNE1,CDC20,CDK4,CDKN1A,CDKN1B,CPA3,CTSB,DLGAP5,DSE,DTL,DUSP1,EXO1,FANCI,GLB1,HSPA1A/HSPA1B,HSPA5,IFNG,ITGAM,ITGAV,LGALS3,MBNL2,MCM3,MCM4,MYBL2,NCAPD3,NUSAP1,ORC1,PARP2,PCGF3,PLK2,Pmaip1,POLD1,PRC1,PTPRC,RAD51,RBL2,RFC4,RPA3,RRM1,SHC1,SLC30A5,SMC2,SPAG5,SUV39H1,TCN2,TERT,TTK,TUBB4A,UHRF1,VEGFA,VEZT,VGLL4,XRCC6	963 (14)	
ADRA1A	5.482	g-protein coupled receptor	 	 	8.66E-03	CCNE1,CDKN1B,CREM,CSRP2,DUSP1,EGR1,FOS,LIF,NR4A1,NR4A2,PAK1,POLA1,POLA2,PRIM2,STAT3,TMPO,VEGFA	877 (10)	
PSEN1	-2.257	peptidase	 	-0.898	6.09E-05	ACSL1,ACTB,ACTG1,ALDOA,AMPH,ARF4,ATOX1,ATP1B1,ATP5C1,Atp5e,ATP5J,ATP6V1A,ATP6V1E1,BAX,C1QBP,CAMK2D,CANX,CAP1,CASP3,CCR5,CCS,CD74,CD9,CDK5R1,CKB,CLEC16A,CLTA,CLTC,CPLX2,CS,CTSS,CTSZ,CYCS,DHRS7,DPY19L3,DSTN,DUSP1,EGR1,EMP1,ENSA,FASLG,FBL,FOS,Fus,GADD45B,GAS5,GDI2,GNA12,GNG2,GOT2,GPANK1,GRIN1,GSTP1,H2AFJ,H2AFV,HIST1H2AD,HIST1H4I,Hnrnpa3,HSP90AA1,HSPA5,HSPA8,HSPD1,IDE,IFNG,IL10,IRF4,IRF5,IRF7,LATS1,LRP1,MAP6,MFSD14A,MT-CO1,NCSTN,NDUFA5,NDUFS4,NDUFS6,NME1,PAFAH1B2,PAK1,PER3,PGK1,PIK3R1,PKP3,PRC1,PTGS2,RHOQ,SLC11A2,SLC38A2,SNAPC3,SRD5A3,SUCLG1,SYN1,TGFB1,TPM3,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUFM,UBC,UQCRQ,WARS	1051 (14)	
ADRA1D	 	g-protein coupled receptor	 	 	4.28E-03	CCNE1,CDKN1B,CREM,CSRP2,DUSP1,EGR1,FOS,LIF,NR4A1,NR4A2,PAK1,POLA1,POLA2,PRIM2,STAT3,TMPO,VEGFA	970 (13)	
KIR2DS4 (includes others)	 	transmembrane receptor	 	 	3.61E-02	CD69,IFNG	 	
CD86	-1.330	transmembrane receptor	 	-1.983	2.71E-01	BCL2L2,CD28,CD69,CTLA4,FASLG,GZMA,ICOSLG/LOC102723996,IFNG,IL10,TNFAIP3,TNFRSF9	 	
GTF2B	-3.360	transcription regulator	 	 	2.96E-02	ACTB,ASNS,CCND2,CDKN1A,ETS2,FASLG,HIST1H2AD,POLB,RNU1-4,TBP,TERT,TNFAIP3	 	
NRAS	-645.474	enzyme	 	-1.163	9.25E-03	BUB3,CCNE1,CD48,CDC20,CDKN1A,CYBB,DUSP2,EGR1,ELK1,EXO1,GALE,IFIT1,IFNG,KRAS,MCM3,MITF,MYBL2,NRAS,POLD1,PTGS2,PTP4A3,RHOB,SESN1,SLC2A1,SPC25,VEGFA,WEE1	1161 (18)	
AXIN1	2.046	other	 	1.254	2.41E-02	CCND2,CSRNP1,ENC1,FOS,GSK3B,LEF1,MDM2,TCF4	 	
ARHGEF28	 	other	 	 	3.61E-02	FOS,GNAQ	 	
CTCF	-6.750	transcription regulator	 	-1.830	1.00E00	BAX,CASP2,CDKN1A,CDKN1B,HLA-DQA1,HLA-DQB1,IGF2,IL12RB1,LYZ,PAX6,PCDHA12,TUBA4A	 	
PRDX1	-21724.888	enzyme	 	1.732	3.49E-02	BAX,CD9,IFNG,PTGS2,REL,SELP	 	
NRG2	-38.736	growth factor	 	 	3.04E-02	ATF1,BIN1,CAPN1,CASP3,EEF1A1,EGR1,FOSB,HK2,HMOX1,IER3,IGF2,JUNB,NR4A1,NR4A3,PRKACA,SGSH,TGFBR1,TOB2,VEGFA	 	
PNKP	-430.838	kinase	 	 	3.61E-02	MT-CO2,MT-CO3	 	
BAP1	-2826.914	peptidase	 	1.969	2.79E-02	CDC14A,CDKN1B,LIF,MCM3	 	
CTLA4	-68835.766	transmembrane receptor	 	1.232	1.27E-02	AHR,CCNA2,CD3D,CD69,CDKN1B,FASLG,GATA3,IFNG,IL10,IL12RB1,IL12RB2,IL3RA,KPNA2,LAG3,PDCD1,PRKD3,PTPRJ,SELP,STX11,TGFB1,TIMM23	 	
NKIRAS1	-346.732	enzyme	 	 	3.61E-02	CHUK,NFKBIB	 	
GNAI2	-1.995	enzyme	 	-1.249	6.21E-03	Abcb1b,BHLHE40,CCR5,CCR7,CXCL3,CXCR4,GNAI3,IFNG,MLH1,PMS2,SELL,STAT3	1014 (14)	
LMNA	-6.520	other	 	 	1.19E-03	AGPAT3,AHCTF1,AMMECR1L,ANKRD37,ARRDC4,BAMBI,BCL2L13,BCLAF3,CCNG2,CCP110,CD28,CD38,CERS6,DIS3L2,DNAJC19,ELK1,EPB41L3,ERCC5,GCLC,GRAP,Gtf2ird2,H3F3A/H3F3B,HEATR5A,IRF8,Irgm1,ISG20,MAFF,MEX3C,MIB1,MYL4,NUFIP2,PCDH7,PDCD6IP,PDP2,PLD2,PMF1/PMF1-BGLAP,POGZ,PPM1H,PTEN,RFWD3,RICTOR,SFXN1,SLC38A2,SLC41A2,SMG7,SPP1,ST6GALNAC4,STK35,TADA2A,THOC1,THUMPD3,TMEM164,TMPO,TOP1,UBA7,ZBTB38,ZCCHC10,ZFP36,Zfp568,ZMYM2,ZNF397,ZNF426,ZNF519,ZNRF2,ZSCAN26	 	
EZH2	-16548.354	transcription regulator	 	1.806	5.20E-01	ACTB,ADAM10,ADRB2,ALOX5AP,ANXA6,ARHGAP1,ATF3,BCL2L11,BMP7,BRCA1,CABLES2,CCND2,CCNE2,CCR5,CDC27,CDK4,CDKN1A,CDKN1B,COL4A1,CTNNA1,DDT,EGR1,EPC1,EPM2AIP1,EZH2,FUCA1,GATA3,HOXD11,ICOSLG/LOC102723996,IFNG,IL10,IL12RB2,IL18R1,ITGA1,KLF4,KRAS,MLH1,MYL6,MZF1,NDRG1,NLK,NME1,PARP12,PAX6,PER1,PIM2,PKMYT1,PTEN,PTGS2,RAB6A,RNASEH1,RNF5,SCAMP2,SELENOT,SIAH1,SLC7A11,SPIB,STT3A,TBX21,TGFB1,TGFBR1,VEGFA	 	
FOLR1	 	transporter	 	 	8.85E-04	AP1S2,ATP6V1B2,ATR,BCAT2,CAT,Cd52,CD9,CENPK,CLPTM1,CSTF1,DTD1,ENTPD7,FBXO3,GAS5,GBA,GPAM,LYZ,MPP6,MRPS6,NAP1L1,PPID,PVT1,SLC3A2,SMC2,SORD,SYNCRIP,SYNGR2,TAGLN2,TTC3,UCHL5,WDFY1	 	
NELFA	2.787	other	 	-1.000	1.57E-02	CCNE2,CDKN1A,DLGAP5,JUNB,MYBL2	 	
PSMB2	-6.855	peptidase	 	 	3.61E-02	ATG5,ATG7	 	
DYNLL1	-6.346	other	 	 	1.41E-02	BCL2L11,CCNE1,CDKN1A,FOS	 	
SNF8	-1.162	enzyme	 	 	3.61E-02	VPS25,VPS36	 	
KCNIP3	-318.141	transcription regulator	 	1.561	2.91E-02	CREM,EDEM1,FOS,FOSB,FOSL2,IFNG,TNFAIP3	 	
FZD5	-14.078	g-protein coupled receptor	 	-1.131	2.79E-02	IFNG,SPP1,TJP1,VEGFA	 	
MMP3	 	peptidase	 	-1.029	7.43E-04	AQR,ATXN2,BTBD1,CIR1,CNOT6L,CRNKL1,CSTF3,DBR1,EGR1,GEMIN5,Hnrnpa1,LSM1,MBNL3,MTPAP,NCBP2,NDRG1,NUDT21,PAN2,PAPD4,PAPOLA,PNPT1,PPIL1,PRPF31,PRPF38A,PSMA6,RBM4,SNRNP48,SYNCRIP,TARDBP,TDRD3,TFIP11,THOC1,TOP1,TSEN2	 	
GTF2H4	-122.077	transcription regulator	 	 	5.52E-03	CAD,CCND2,CDK4,TERT	 	
OGT	-10395.150	enzyme	 	0.525	8.42E-03	ACADM,BAX,CDKN1A,CDKN1B,ETFB,FOS,MDM2,MTX1,NDUFA5,NDUFA6,NDUFA9,NDUFB6,NDUFC2,NDUFS1,PDHX,SUCLG1	786 (10)	
EIF3A	1.255	other	 	0.692	1.57E-02	CDKN1B,ISG15,NDRG1,RPA2,RPA3	 	
E2F4	-4.785	transcription regulator	 	-0.588	2.29E-08	ALG5,ASF1B,BARD1,BCL2L11,BRCA1,BUB3,C5orf22,CCNA2,CCNE1,CCNE2,CDKN1A,CFAP20,CSTF1,DBF4,DDX11,DUT,E2F2,E2F3,ECT2,EIF2B2,EXOSC8,EXOSC9,FPGT,GOLT1B,HIST1H2AB,HIST1H2AC,HIST2H2AA3/HIST2H2AA4,HLTF,HMMR,KIF4A,MCM3,MCM4,MLH1,MSH2,MYBL2,ORC1,PGRMC1,PKN2,PLSCR1,POLA1,POLA2,POLD1,PPP1R13B,PRC1,PRIM2,PRKDC,PSAT1,PTTG1,RABIF,RAD51,RBBP4,RBBP5,RBL2,RFC4,RPA3,RRM1,RRM2,SINHCAF,SKA2,SLC3A2,SMARCA5,SMC2,SRPRA,STAM,SUPT4H1,TERT,TK1,TMPO,TOPBP1,TP53BP2,TTK,UHRF1,UMPS,UNG,WDR76,ZNF267,ZNF451,ZNF91	 	
CTBP1	1.588	enzyme	 	1.260	4.50E-02	BRCA1,BRCA2,CCNG2,CDKN1A,CSF1R,ENC1,FOS,FSCN1,THBS1,TMED4	 	
