© 2000-2018 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Flags	Molecules	# Molecules
Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Morphology	Quantity of bone cells	3.00E-07	 	0.714	 	AHR,C3,CALCB,CD81,EBF1,EGR1,ESR1,FOS,FOSB,GAB2,GGT1,INPP4B,IRAK3,IRS1,JUNB,KIF9,KL,KLF4,KREMEN2,PAX5,PER1,PLCL1,PPARG,PSTPIP2,TNF,VEGFA	26
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis	Proliferation of hematopoietic cells	9.67E-05	 	0.721	 	BCL11A,BLNK,CALCB,CD40,CD79A,CDKN2A,CEACAM1,CSF2RB,CSF3R,EBF1,EGR1,EGR3,ETS2,FANCA,IFNG,IGF1R,IL15,IL4R,ITK,ITPKB,JUNB,KLF4,NFKBID,NR4A3,PENK,Prg4,RASGRP3,SOCS3,TNF,TNFAIP3,VEGFA	31
Inflammatory Response	Adaptive immune response	3.08E-04	 	0.730	bias	CD19,CR2,CTLA4,DUSP1,FFAR2,IFNG,Ifnz (includes others),IL15,IL18,ITK,JCHAIN,TNF	12
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis	Proliferation of hematopoietic progenitor cells	7.88E-05	 	0.731	 	BCL11A,BLNK,CALCB,CD40,CD79A,CDKN2A,CEACAM1,CSF3R,EBF1,EGR1,EGR3,ETS2,FANCA,IFNG,IGF1R,IL15,IL4R,ITK,ITPKB,JUNB,KLF4,NFKBID,NR4A3,PENK,Prg4,RASGRP3,SOCS3,TNF,TNFAIP3,VEGFA	30
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	Male genital neoplasm	2.10E-04	 	0.733	 	ABCG2,ACAD8,ADAMDEC1,ADCK5,AFF1,AFG1L,AMD1,ANGEL1,ANKRD13B,ANKRD35,ANXA1,ARHGAP28,B4GALT4,BBS10,BCAR3,BCL11A,BHLHE40,BORA,C3,C6,C8orf44-SGK3/SGK3,C9orf50,CACNA1E,CACNA2D4,CACNB1,CACNB3,CARS2,CBX4,CBY1,CCDC88A,CCR3,CD274,CD69,CD79A,CD80,CDC42BPB,CDH1,CDH17,CDH23,CDKN2A,CEACAM1,CEP290,CFP,CHAD,CHGB,CHRM3,CHRM4,CIITA,CKAP4,CLEC9A,CNGA1,CPNE7,CPNE8,CR2,CREM,CSF2RB,CSF3R,CSRNP1,CTLA4,CXCR4,CYP17A1,DGKI,DMPK,DNAJB2,DNASE1L1,DNASE1L3,DOCK7,DPAGT1,DSCAM,DSP,DTX4,DUSP1,DUSP2,DUSP5,DYSF,EBF1,EFCAB2,EGR1,EHF,ELOVL7,ENOX2,EPHA1,ERBB2,ESR1,ETS2,EVC2,EXOC1,F5,FAM124B,FAM129B,FAM184A,FAM71B,FAM83H,FANCA,FANCL,FCGR3A/FCGR3B,FGD2,FMN1,FOS,FSCN1,GADL1,GARNL3,GDAP1L1,GEN1,GFOD2,GGT1,GNAO1,GPR146,GPR22,GPR83,HBA1/HBA2,HEPACAM2,HSP90AA1,HSPA5,HSPA8,ID3,IFNG,IFT57,IGF1R,IL1R2,IL4R,INPP4B,IRS1,IRS2,ISPD,ITGAD,ITK,JAG1,JAKMIP2,JCHAIN,JUNB,KCNA2,KCNB1,KDM6B,KIAA1324,KIAA1841,KIF19,KIF20A,KLF4,KLF6,KLK3,KREMEN2,KSR2,LGALS4,LIN9,LIPE,LMLN,LRRC32,LY96,MAGI1,MAP3K13,MAP3K15,MAP7D2,MAP7D3,MARCO,MCRS1,MCTP1,MEN1,MIS18BP1,MMP9,MPP2,MREG,MT-CO1,MTX3,MYBL2,MYCL,MYO18B,MYO1H,NCKIPSD,NDST2,NEK4,NR4A2,NR4A3,NUDT7,OBSCN,ODC1,OR5K1,PABPC1L,PAQR4,PARVA,PER1,PGBD1,PLCE1,PLIN4,PLXNB1,PNPLA8,PPARG,PPP1R15A,PPP1R3B,PRAM1,PRKCG,PTK2,PTPRM,PYCR3,RARB,RASGRP3,RDH12,RFTN2,RGS1,RNF144A,RSPH1,RSPH3,RTKN,RTP4,RUBCNL,RYR1,SCN11A,SEC14L1,SEMA3E,SFMBT2,SGPP2,SIGLEC10,SIMC1,SKIDA1,SKIL,SLC16A2,SLC17A9,SLC25A13,SLC25A14,SLC26A6,SLC27A1,SLC3A2,SMUG1,SNCA,SOCS3,SPON1,SPTB,STAB2,STARD9,STOM,STRADB,SYTL1,TENM1,TFPI,TGM1,TIFA,TMC4,TMEM69,TMPRSS13,TNF,TNFRSF8,TNFSF13B,TRADD,TRAPPC6A,TRDMT1,TRIM6-TRIM34,TRMT11,TSHZ3,TSPAN33,TSPAN4,TTR,TTYH1,TUBB1,TUBE1,UBC,ULBP1,UNC13B,USP46,VCAN,VEGFA,WWC1,ZBTB10,ZFYVE1,ZNF366,ZNF446,ZNF551,ZNF626,ZNF780A	268
Cell Death and Survival, Organismal Injury and Abnormalities	Cell death of epithelial cells	2.32E-04	 	0.772	 	ABCG2,AHR,ALDH3B1,ATF3,BNIP3,CD40,CDH1,CDKN2A,CEACAM1,E2F6,EEF1A1,EGR1,ELOVL4,ENDOG,ERBB2,ESR1,FAH,FOS,GADD45B,HSPA5,IFNG,IGF1R,IL15,IL18,IRAK3,IRS1,ITGA3,KCNB1,KL,MZB1,NAMPT,NLRC4,NR4A1,PLA2G4A,PLK3,PPARG,PPP1R15A,PRNP,PTK2,SCD,SERPINF1,SGPP2,SNCA,SOCS3,SRXN1,TGFB1I1,TNF,TNFRSF25,UXT	49
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	Malignant neoplasm of large intestine	2.37E-04	 	0.775	 	ABLIM2,ACAD8,ACTG2,ACTN1,ACVR1,ADA,ADAM23,ADCK5,AFF1,AHR,AKAP7,ALAS2,ALG6,ALKBH2,ANGEL1,ANKRD29,ANKRD35,ANKRD39,ANPEP,ANXA1,ARHGAP22,ARHGAP28,ARMC3,ARMC6,ATF3,ATF5,ATP6V0D2,AUNIP,AXDND1,B9D2,BANK1,BBS12,BCAR3,BCAT1,BCL11A,BCO2,BHLHE40,BHMT2,BLNK,BNIP3,BORA,C14orf93,C1orf146,C3,C6,C7orf31,C8orf44-SGK3/SGK3,C9orf131,C9orf50,CACNA1E,CACNA2D4,CACNB1,CACNB3,CACNB4,CAMKK1,CAPN3,CARNS1,CBR4,CBX4,CBY1,CCDC138,CCDC141,CCDC18,CCDC191,CCDC28A,CCDC73,CCDC88A,CCR3,CD274,CD5L,CD69,CD79A,CD8A,CDC42BPB,CDC42BPG,CDH1,CDH17,CDH23,CDKL2,CDKL5,CDKN2A,CEACAM1,CECR2,CENPH,CENPX,CEP162,CEP290,CEP72,CERKL,CFP,CHGB,CHRM3,CHRM4,CHRNE,CHST15,CHST3,CIITA,CKAP4,CLCN2,CLEC12A,CNKSR3,COL10A1,COL11A2,COL20A1,COQ10B,CORO2B,CPNE7,CPNE8,CR2,CREM,CSF2RB,CSF3R,CSRP2,CTLA4,CTU1,CUTC,CXorf57,CYP17A1,DBNDD2,DCLRE1A,DCXR,DENND4A,DGKI,DLG2,DMAP1,DNA2,DNAAF4,DNAH17,DNAJB2,DNAJB7,DNAJC28,DNASE1,DNASE1L3,DOCK7,DOHH,DOK3,DPAGT1,DPP7,DPYSL5,DSCAM,DSCC1,DSG2,DSP,DTX4,DUSP1,DUSP2,DUSP22,DUSP5,DYNC2LI1,DYSF,EBF1,EEF1A1,EFCAB2,EFCAB9,EGR1,ELMO3,ENGASE,ENOX2,ENPP2,ENPP6,EPHA1,ERBB2,ERVFRD-1,ESR1,EVC2,EVPL,EXOC1,F2RL3,F5,FAH,FAM114A1,FAM124B,FAM129B,FAM71B,FAM78B,FAM83H,FAM91A1,FANCA,FCGR3A/FCGR3B,FCGRT,FES,FFAR2,FGD2,FHIT,FILIP1,FMN1,FOS,FOSB,FOSL2,FSCN1,GAB2,GALK1,GALNT14,GALNT9,GALR2,GARNL3,GCH1,GDAP1L1,GEN1,GFOD2,GGT1,GK5,GNAO1,GP1BA,GP2,GPM6B,GPR146,GPR22,GPR83,GRHL1,GTSE1,GUCY1A3,HCN3,HEXIM1,HHEX,HLA-A,HLA-F,HPGD,HSP90AA1,HSPA8,HTATIP2,IER5L,IFIT1B,IFNG,IFT74,IFT88,IGF1R,IL13RA1,IL15,IL17C,IL18,IL1R2,IL1RL2,IL4R,INPP4B,IPP,IRAK3,IRF6,IRS1,IRS2,ISG20,ISPD,ITGA2B,ITGA3,ITGAD,ITPKB,JAG1,JAKMIP2,JAZF1,JCHAIN,JMY,JUNB,KANK3,KCNB1,KCNC1,KCNJ10,KCNJ13,KCNK6,KDELC1,KDM6B,KIAA1324,KIF13A,KIF19,KIF20A,KL,KLF12,KLF4,KLF6,KLK3,KMO,KREMEN2,KSR2,KYNU,LCAT,LGALS4,LIMA1,LIN9,LIPT1,LMLN,LRP4,LRRC20,LRRC23,LRRC32,LRRN3,LSM7,LSR,LY96,LYRM2,LYSMD1,MAFF,MAGI1,MAP3K10,MAP3K13,MAP3K15,MAP6,MAP7D2,MAP7D3,MARCO,MARS2,MARVELD2,MASTL,MATN2,MCAM,MCRS1,MCTP1,MED18,MELK,MEN1,MFHAS1,MFSD2A,MFSD6,MICAL3,MIER2,MIPOL1,MIS18BP1,MLST8,MMP9,MPI,MREG,MRPL16,MRPS18A,MSL3,MT-CO1,MT-CO2,MT-CYB,MYBL2,MYO18B,MYO1H,MYPOP,NACC2,NADSYN1,NAMPT,NAT1,NCKIPSD,NDST2,NDUFAF6,NEB,NEK4,NEU3,NFIX,NFKBIZ,NHSL2,NLRC4,NMRAL1,NOTCH4,NOXO1,NR4A1,NR4A2,NR4A3,NSUN7,NTHL1,NUCB2,NUDT22,NUDT7,NXPE4,OAS1,OBSCN,ODC1,OR5K1,OVGP1,OXNAD1,PALLD,PARPBP,PARVA,PENK,PER1,PFKFB4,PFKM,PHKA1,PIK3R3,PILRA,PLA2G7,PLCE1,PLCL1,PLIN4,PLK2,PLK3,PLXNB1,PMEPA1,PNRC1,POU2AF1,PPARG,PPFIBP2,PPP1R16B,PPP1R3B,PRADC1,PRAM1,PRDM9,PRKCG,PRNP,PRSS53,PSMG3,PSTK,PSTPIP2,PTGES3L,PTK2,PTPN14,PTPRM,QPRT,RAD51AP1,RAP2B,RARB,RASAL1,RASGRP3,RBM44,RDH12,RDH5,RFC3,RFTN2,RGS1,RGS11,RP2,RPH3AL,RPP40,RSPH3,RTL5,RUNDC3A,RYR1,S1PR5,SAMD4A,SBSN,SCN11A,SCN4A,SEC14L1,SEC31B,SEC61A2,SELENBP1,SEMA3E,SEPT10,SFMBT2,SH3TC1,SIGLEC9,SKAP2,SKIDA1,SLC11A1,SLC16A2,SLC17A5,SLC17A9,SLC25A13,SLC25A14,SLC25A33,SLC25A35,SLC26A6,SLC27A1,SLC35F6,SLC38A2,SLC3A2,SLC7A11,SLFN12L,SLPI,SMCR8,SOCS3,SORBS3,SP9,SPATA24,SPIRE1,SPO11,SPON1,SPTB,STAB2,STARD9,STOM,STON1,STOX1,SUSD2,SYT1,SYTL1,TBCE,TCEANC,TDO2,TEAD2,TENM1,TEX15,TFPI,TGFB1I1,TGIF1,TIMD4,TIMM21,TIMP2,TJP1,TLE1,TLR8,TMC3,TMC4,TMCC3,TMEM19,TMEM231,TMEM255A,TMEM91,TMIE,TMPRSS13,TNF,TNFAIP3,TNFRSF8,TRADD,TRIAP1,TRIM17,TRIM2,TRIM6-TRIM34,TRIM68,TSC22D2,TSEN15,TSHZ3,TSPAN33,TSPAN4,TSSC4,TTC23,TTC30A,TTR,TTYH1,TUBB1,TUBB2B,TUBE1,TVP23A,UBC,UNC13B,UTP14C,VCAN,VEGFA,VIPR1,VPS37B,WDPCP,WDR34,WDR66,WFIKKN2,WWC1,XK,YDJC,YY2,ZBP1,ZBTB10,ZBTB34,ZDHHC13,ZFAND2A,ZFP14,ZFP36L1,ZFP36L2,ZFR2,ZNF202,ZNF23,ZNF276,ZNF296,ZNF365,ZNF366,ZNF442,ZNF446,ZNF471,ZNF473,ZNF518B,ZNF551,ZNF606,ZNF626,ZNF667,ZNF780A,ZNF8	555
Cancer, Organismal Injury and Abnormalities	Lymphoid Cancer and Tumors	1.40E-04	 	0.787	 	ABCG2,ADA,ADGRA2,AHR,AMPH,ANPEP,ANXA1,ATF3,ATP6V0D2,BBS12,BCAT1,BCL11A,BCL2L2,BLNK,C3,CACNB1,CACNB3,CACNB4,CARNS1,CBX4,CCR3,CCR8,CD19,CD200,CD274,CD40,CD69,CD79A,CD80,CDH1,CDKN2A,CEP41,CFP,CHRM3,CHRM4,CHRNB1,CIITA,CLK1,COL20A1,CR2,CREM,CSF2RB,CSF3R,CTLA4,CXCR4,DCLRE1A,DENND4A,DNA2,DSP,DUSP2,DUSP5,EBF1,EGR1,ERBB2,ESR1,EXTL2,FAM129B,FANCL,FCGR3A/FCGR3B,FCMR,FHIT,FOSL2,GADD45B,GP1BA,GPR15,HSF4,HSP90AA1,HSPA5,ID3,IFNG,IGF1R,IL13RA1,IL15,IL18,IL1RL2,IL4R,IRS2,ISG20,ITGA3,ITPKB,JAKMIP2,JCHAIN,JUNB,KLF6,KLK3,LAD1,LMO1,LRP4,LRRC23,MAGI1,MCAM,MMP9,NAMPT,NEB,NEK4,NLRC4,NR4A2,NR4A3,NXPE4,OAS1,ODC1,PAX5,PENK,PER1,Plpp1,POU2AF1,PTPN14,PYCR3,RARB,RPSA,S1PR3,SEC14L1,SELENBP1,SEMA3E,SEPT10,SERPINF1,SGPP2,SIGLEC10,SKIL,SRSF2,STAB2,TBCE,TEX15,TFPI,TGFB1I1,TIMD4,TIMP2,TJP1,TLR8,TNF,TNFAIP3,TNFRSF8,TRADD,TUBB1,TUBE1,UNC13B,UROS,UTF1,VCAN,VEGFA,WDR66,YAE1D1,ZBTB10,ZFP36L1,ZFP36L2,ZNF551	146
Cell Death and Survival	Cell death of intestinal cells	3.54E-05	 	0.805	 	BCL2L2,CEACAM1,ESR1,FITM2,IFNG,MMP9,PLA2G4A,PTK2,SGPP2,TNF,TNFAIP3	11
Cell Death and Survival	Apoptosis of tumor cell lines	8.96E-06	 	0.813	 	ABCG2,AHR,ATF3,BCL2L14,BCL2L2,BHLHE40,BLNK,BNIP3,BUD23,C8orf44-SGK3/SGK3,CALCB,Cd24a,CD274,CD40,CDH1,CDKN2A,CEACAM1,CERKL,CERS6,CREM,CSF2RB,CXCR4,DSG2,DSP,DUSP1,EBF1,EEF1A1,EGR1,EGR3,EHF,ENDOG,ERBB2,ESR1,ETS2,FAM129B,FANCA,FCMR,FHIT,FOS,FOSB,GADD45B,GALR2,GGT1,GTSE1,HSPA1A/HSPA1B,HSPA5,HSPA8,HTATIP2,ID3,IFNG,IGF1R,IL15,IL18,IRS1,JAG1,JUNB,KCNB1,KL,KLF4,KLF6,KLK3,KSR2,MAP3K10,MCRS1,MELK,MEN1,MMP9,NACC2,NEU3,NFIL3,NFKBIZ,NLRC4,NOTCH4,NR4A1,NR4A2,ODC1,PARVA,PAX5,PER1,PIDD1,PLA2G7,PLK2,PLK3,PMEPA1,PPARG,PPP1R15A,PRNP,PTK2,RARB,RTKN,S1PR3,SCD,SENP8,SERPINF1,SH3RF1,SLPI,SNCA,SOCS3,STARD9,TDO2,TGM1,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNS2,TRADD,TRIAP1,UXT,VCAN,VEGFA,WWC1	114
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Development	Growth of lymphoid tissue	3.75E-06	 	0.842	 	CALCB,CD40,CD79A,CD80,CD8A,CDKN2A,CLEC1B,CTLA4,CXCR4,EGR1,EGR3,ETS2,IFNG,IL15,IL18,IL4R,ITK,KLF4,NFKBID,PENK,PPARG,RASGRP3,TIMD4,TNF,TNFAIP3,VEGFA	26
Tissue Development	Morphogenesis of epithelial tissue	1.74E-04	 	0.851	bias	AHR,ANPEP,CDH1,CXCR4,EPB41L5,HHEX,IFT88,IL4R,IPP,JAG1,MKS1,MMP9,NOTCH4,ODC1,PALLD,TGFB1I1,TIMP2,TNF,VEGFA	19
Infectious Diseases	Infection of mammalia	7.55E-11	 	0.877	bias	AHR,BATF3,C3,CBY1,Cd24a,CD274,CD40,CD5L,CD81,CD8A,CEACAM1,CIITA,CLEC12A,CR2,CSF2RB,CXCR4,DCLRE1A,DUSP1,FCMR,Fcna,FES,FOS,GAB2,IFNG,IL13RA1,IL15,IL18,IL4R,ITGAD,ITK,ITPKB,JCHAIN,Klra7 (includes others),LY96,MARCO,MMP9,NFKBIZ,NLRC4,NR1H3,PILRB,PLA2G7,POU2AF1,PRNP,SERPINB9,SLAMF6,SLC11A1,SLPI,SNCA,Tlr11,TNF	50
Organismal Survival	Survival of organism	6.97E-08	 	0.885	 	Abcb1b,ABCG2,ACTG2,AHR,ANXA1,C3,CBY1,CD19,CD274,CD40,CD80,CD8A,CDH1,CDKN2A,CEACAM1,CR2,CSF2RB,CTLA4,CXCR4,DCLRE1A,DSCAM,DSP,DUSP1,ERBB2,ESR1,ETS2,F2RL3,FCGR3A/FCGR3B,FCGRT,FCMR,FOS,HLA-A,HSPA1A/HSPA1B,Hspa1b,HTATIP2,IFNG,IFT88,IGF1R,IL15,IL18,IL4R,IRAK3,ITGA3,ITK,JUNB,KL,KLF12,KLF6,LAPTM4B,LIMA1,LMO1,LY96,MAGI1,MARCO,Meg3,MMP9,MTTP,NFIL3,NLRC4,NR4A3,ODC1,PPARG,PPP1R15A,PRNP,PTK2,RPL13A,S1PR3,SLC11A1,SLC40A1,SNCA,SOCS3,SRSF2,TFPI,TGIF1,Tlr11,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF4,VEGFA	82
Neurological Disease, Organismal Injury and Abnormalities	Seizures	2.24E-06	 	0.914	bias	AMPH,ATF3,BHLHE40,C3,CACNA2D4,CACNB4,CAMKK1,CDKL5,CDKN2A,CHGB,CREM,CXCR4,DUSP1,DUSP2,DUSP5,EGR1,EGR3,FOS,FOSB,GADD45B,GNAO1,HBA1/HBA2,HBB,HSPA1A/HSPA1B,HSPA8,JUNB,KCNA2,KCNB1,KCNC1,KCNJ10,KCTD7,MMP9,NAMPT,NFIL3,NR4A1,NR4A3,PLCL1,PLK2,PLK3,RGS1,RGS2,RNF144A,SCN11A,SCN4A,SOCS3,STRADB,UBC,UNC13B	48
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Development, Tissue Development	Growth of lymphoid organ	7.56E-06	 	0.945	 	CALCB,CD79A,CD80,CD8A,CDKN2A,CTLA4,EGR1,EGR3,ETS2,IFNG,IL15,IL18,IL4R,ITK,KLF4,NFKBID,PENK,PPARG,RASGRP3,TIMD4,TNF,TNFAIP3,VEGFA	23
Cellular Development, Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	Differentiation of osteoclasts	2.87E-04	 	0.949	 	ATP6V0D2,C3,CALCB,CEACAM1,CIITA,FOS,GAB2,IFNG,IL18,INPP4B,IRAK3,IRS1,JAG1,JUNB,KLF4,LILRB3,PILRB,SERPINF1,SOCS3,TCTA,TNF,TOB2,VEGFA	23
Cell Death and Survival	Apoptosis	8.45E-08	 	0.967	 	ABCG2,ADA,AGO4,AHR,AIF1,ANPEP,ANXA1,APH1A,ATF3,ATF5,ATP6V0D2,BBS10,BCL11A,BCL2L14,BCL2L2,BHLHE40,BLK,BLNK,Bmyc,BNIP3,BUD23,C3,C6,C8orf44-SGK3/SGK3,CALCB,CAPN3,CBX4,CCDC88A,CCR8,CD19,CD200,Cd24a,CD274,CD40,CD5L,CD69,CD80,CD8A,CDH1,CDKN2A,CEACAM1,CECR2,CERKL,CERS6,CHRM3,CIITA,CLCN2,CLN8,CR2,CREM,CSF2RB,CSF3R,CSRNP1,CTLA4,CXCR4,DMPK,DNASE1,DNASE1L3,DPP7,DSG2,DSP,DUSP1,DUSP2,DUSP22,DUSP5,E2F6,EBF1,EEF1A1,EGR1,EGR3,EHF,ELOVL4,ENDOG,ERBB2,ESR1,ETS2,F2RL3,FAH,FAM129B,FANCA,FCGR3A/FCGR3B,FCMR,FES,FHIT,FOS,FOSB,GAB2,GADD45B,GALR2,GGT1,GNAO1,GP2,GPM6B,GSKIP,GSTM5,GTSE1,HBA1/HBA2,HEXIM1,HPGD,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA5,HSPA8,HTATIP2,ID3,IFNG,Ifnz (includes others),IFT57,IFT88,IGF1R,IL15,IL17C,IL18,IL4R,IRAK3,IRS1,IRS2,ITGA3,ITK,JAG1,JMY,JUNB,KCNB1,KDM6B,KL,KLF4,KLF6,KLK3,Klra7 (includes others),KSR2,LAPTM4B,LGALS4,MAP3K10,MCAM,MCRS1,MELK,MEN1,MMP9,MYBL2,MZB1,NACC2,NAMPT,NEU3,NFIL3,NFKBID,NFKBIZ,NLRC4,NME3,NOTCH4,NR1H3,NR4A1,NR4A2,NR4A3,OAS1,OBSCN,ODC1,PALLD,PARVA,PAX5,PER1,PEX11B,PIDD1,PLA2G4A,PLA2G7,PLCE1,PLK2,PLK3,PMEPA1,POU2AF1,PPARG,PPP1R15A,PRDX4,PRKCG,PRNP,PTK2,RARB,RDH12,RNF152,RTKN,S1PR3,SCD,SELENBP1,SENP8,SERPINB9,SERPINF1,SGPP2,SH3RF1,SIGLEC9,Sik1,SKIL,SLC17A5,SLC40A1,SLC7A11,SLPI,SNCA,SOCS3,SPO11,SRSF2,SRXN1,STARD9,STRADB,TDO2,TEAD2,TEX261,TFPI,TGFB1I1,TGM1,TIMD4,TIMP2,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNS2,TRADD,TRIAP1,TRIM2,TRMT11,TTR,UNC13B,UXT,VCAN,VEGFA,VIPR1,WWC1,ZFP36L1,ZFP36L2	230
Cell Death and Survival	Apoptosis of T lymphocytes	1.90E-04	 	0.973	 	ADA,AHR,CCR8,Cd24a,CD274,CDKN2A,CIITA,CTLA4,CXCR4,DUSP5,EGR1,EGR3,ETS2,FCMR,FOS,GP2,ID3,IFNG,IL15,IL17C,IL18,ITK,LGALS4,NFKBID,NR4A1,NR4A3,POU2AF1,SERPINB9,TNF,TNFRSF25	30
Cardiovascular Disease, Organismal Injury and Abnormalities	Vaso-occlusion	1.76E-04	 	0.978	 	ADA,AHR,ANKRD29,CACNA1E,CACNB1,CACNB3,CACNB4,CD40,CERS6,EGR1,ESR1,F2RL3,F5,FAM78B,FOS,FOSB,GUCY1A3,HBA1/HBA2,IFNG,IL18,IRS1,ITGA2B,JUNB,KL,KLF4,KLF6,LCAT,LIPE,LRRC20,MATN2,MMP9,NR1H3,NR4A1,PARVA,PLA2G4A,PLA2G7,PPARG,PTPRM,QPRT,RGS1,SAMD4A,SCD,SERPIND1,SLC7A11,SOCS3,TFPI,TIMP2,TNF,TNFAIP3,TNFRSF25,TNFSF4,TUBB1,TUBE1,VCAN,VEGFA	55
Cell Death and Survival	Apoptosis of lymphoid cells	1.53E-06	 	0.990	 	ADA,AHR,BCL11A,BLNK,CCR8,Cd24a,CD274,CD40,CD80,CDKN2A,CIITA,CR2,CTLA4,CXCR4,DUSP5,EGR1,EGR3,ETS2,FCGR3A/FCGR3B,FCMR,FOS,GADD45B,GP2,HSPA5,ID3,IFNG,IL15,IL17C,IL18,IRS2,ITK,LGALS4,NFKBID,NR4A1,NR4A3,POU2AF1,SERPINB9,SKIL,TNF,TNFRSF25,TNFSF13B,VEGFA	42
Organismal Development	Mass of fetal organism	1.78E-04	 	1.000	bias	C3,ELOVL4,ERVFRD-1,FES,FOS,IRS1,KDM6B,Meg3,PLK2	9
Cell Death and Survival	Apoptosis of blood cells	8.11E-08	 	1.005	 	ADA,AHR,ANPEP,ANXA1,ATF3,BCL11A,BCL2L2,BLNK,CCR8,Cd24a,CD274,CD40,CD5L,CD69,CD80,CDKN2A,CIITA,CR2,CTLA4,CXCR4,DUSP5,EGR1,EGR3,ETS2,FCGR3A/FCGR3B,FCMR,FOS,GADD45B,GP2,ID3,IFNG,IL15,IL17C,IL18,IRAK3,IRS2,ITK,KLF4,LGALS4,MYBL2,NAMPT,NFKBID,NR4A1,NR4A3,PALLD,PLA2G4A,POU2AF1,PPARG,SERPINB9,SERPINF1,SIGLEC9,SKIL,SLPI,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,VEGFA	59
Cellular Function and Maintenance, Hematological System Development and Function	Function of lymphocytes	2.61E-06	 	1.028	 	Abcb1b,AHR,ATF3,BANK1,BATF3,BCAT1,BHLHE40,CACNB3,CD274,CD69,CD80,CD81,CD8A,CEACAM1,CIITA,CR2,CSF2RB,CTLA4,DUSP1,GADD45B,HLA-A,ID3,IFNG,IL13RA1,IL15,IL18,IL4R,ITK,LILRB3,NFKBID,POU2AF1,SERPINB9,SLAMF6,SLPI,TLR8,TNF,TNFSF13B	37
